question,context
How was attention given to stabilization and consolidation?,"in this early stage of the work, attention was given to stabilization and consolidation, largely achieved with wooden supports"
What was used for stabilization and consolidation?,"area of the grand staircase, the hall of the double axes, and the queen's megaron, 1902. wooden supports were used for stabilization and consolidation"
the wooden supports initially used to stabilize the structures were what?,"wooden supports were used for stabilization and consolidation. figure 17 grand staircase during restoration, 1910. the wooden supports initially used to stabilize the structures (see figs"
were the wooden supports initially used to stabilize the structures or replaced?,"the wooden supports initially used to stabilize the structures (see figs. 15, 16) were replaced a few years later by iron girders"
What is duncan mackenzie wearing?,"arthur evans, dressed in white, is seen at the upper center right; next to him stand duncan mackenzie (wearing a pith helmet), evans's assistant and supervising field archaeologist, and the architect christian doll (wearing the widebrimmed hat)"
How many years did the most radical reconstruction work take place?,"figure 18 lobby of the wooden posts after restoration, viewed from the east, 1928. the period berween 1922 and 1930 saw the most radical reconstruction work"
the period berween 1922 and 1930 saw the most radical what?,the period berween 1922 and 1930 saw the most radical reconstruction work. during this time the site was transformed from poorly preserved ruins (fig
What was transformed into a multistoried concrete vision of the past?,during this time the site was transformed from poorly preserved ruins (fig. 14) into a multistoried concrete vision of the past. knossos 107 the place of the original architraves and beams
when was the reinforced concrete roofing installed?,"despite these developments, however, the reinforced concrete roofing over parts of the areaespecially the larger hallswas not realized until after 1922"
why did evans plant trees all around the site?,"it was also during this phase that evans planted trees all around the site, in order to set off the palace from the surrounding landscape"
When did evans stress the need to address the problems of conservation at the site?,"the trees began to appear in photographs of the site taken after 1904. in a number of publications, evans stressed the need to address the problems of conservation at the site (evans 1927, 1935:118)"
What was the cause of the collapse of part of the papadopos staircase?,"an exceptionally wet winter in 1904 led to the collapse of part of the grand 108 papadopoulos staircase; this event, in turn, threatened much of the domestic quarter, and evans felt that ""to avert the ruin thus threatened demanded nothing less than heroic measures"" (evans 19045:23)"
what was the perishable nature of the excavated materials led him to believe?,"although in this first phase of activity, evans was basically concerned with consolidation, the extremely perishable nature of the excavated materials led him to believe that more invasive interventions were required"
How many years did karo live?,"12 at the time this position was strongly supported by many of his contemporaries (karo 1959:1627), although his interventions of 1922 to 1930 (described below) were to later become very controversial"
when was arthur evans phase 2 finished?,"activities of arthur evans, phase 2 (19221930) this was the period of the most radical reconstruction, during which the site was transformed from poorly preserved ruins into a multistoried concrete vision of the past"
When did the restoration of the palace continue with increased momentum?,"in comparison to the first phase, the resumption of activities in 1922, after the first world war, saw a series of smaller soundings, whereas the restoration of the palace continued with increased momentum (hood and taylor 1981:34)"
What is the purpose of evans?,"0 evans aimed to provide the visitor with an impression of how parts of the palace might have looked in their heyday, sometime in the early part of the late minoan period"
when was the paper read before the society of antiquaries of london?,"he set forth his reasons for the restoration, which he referred to as reconstitution, in a paper read before the society of antiquaries of london (evans 1927)"
What was the reaction of the public about his reconstruction?,"his reconstruction aroused much controversy at the time, and it has continued to do so ever since"
How many years did it take ferroconcrete to rebuild the first phase?,"14 while the use of wood and iron characterized the reconstruction work of the first phase, during this second phase, ferroconcrete was used extensively, with serious consequences"
What did evans say made it possible to renew in a more substantial form the supports of,"in his 1927 paper evans stated, ""the new facilities afforded by the use of reinforced concrete made it possible not only to renew in a more substantial form the supports of upper elements in the west section of the palace, but to profit by a better understanding of the meaning of existing remains"" (evans 1927:264)"
when were portions of the upper floor over the west wing restored?,"in 1922 and 1923, portions of the upper floor over the west wing and the staircase associated with the stepped portico were restored (brown 1983:pls. 25, 27a)"
When was further reconstruction done on the central court?,"25, 27a). further reconstruction was undertaken in 1925 at various points of the palace at the south and southwest sides of the central court (hood and taylor 1981:5)"
The west side of the south propylaeum was restored in what year?,"the west side of the south propylaeum was restored in 1926, where a replica of the cupbearer fresco was installed"
when was most of the work of restoration on the grand staircase done?,most of the work of restoration on the grand staircase and the domestic quarter was undertaken in 1928
Where was a replica of the shield fresco placed?,"the loggia of the grand staircase was restored and roofed over, and a replica of the shield fresco was executed (brown 1983:pl. 56c); a replica of the dolphin fresco was set up in the queen's megaron"
How many years after the hall of double axes was relaid at its original height was the,"in the same year the whole hall of the double axes, including the porticoes, was roofed over with reinforced concrete, and the upper floor was relaid at its original height (brown 1983:83) (figs"
When was the southwest columnar chamber erected?,"19, 20). in 1929 the southwest columnar chamber was erected above the southwest pillar crypt, several of the west magazines were roofed over, and the north lustral basin was restored (fig"
was the domestic quarter in taylor?,"22) (hood and taylor 1981:5)y figure 19 restored upper story of the domestic quarter, 1928"
this bird'seye view from the west shows that the restorations extended to the second,"this bird'seye view from the west, taken from the observation tower, shows that the restorations extended to the second stories of some structures"
when was figure 16 added to the second story?,"this photograph can be compared to figure 16, which shows the area after partial restoration but before the 1928 erection of the second story"
the roof over the lower story was built of reinforced what?,"the roof over the lower story was built of reinforced concrete. figure 20 south colonnade of the restored hall of the double axes, viewed from the south after the work of 1928"
the modern columns are based on what kind of frescoes?,the entirely modern columns are based on images from minoan frescoes
when were some parts of the palace restored?,"during the work of the 1920s, some parts of the palace were restored on the basis of fragmentary, and often littleunderstood, minoan iconography"
isfigure 21 theatral area still standing?,"figure 21 theatral area after consolidation and restoration, viewed from the northwest, 1930"
was the theatral area consolidated or reconstructed?,"one of the areas worked on during the first phase of intervention, the theatral area was consolidated and partially reconstructed"
the north supporting wall was rebuilt and a number of sunken slabs were partially raised;,the north supporting wall was rebuilt; missing slabs of the northeast section of the southern flight of steps were restored; and a number of sunken slabs were partially raised
When was the north lustral basin viewed from the northwest?,"the restored parts are indicated in an early published plan (evans 19023:103, fig. 68). knossos 109 110 papadopoulos figure 22 north lustral basin viewed from the northwest, as restored in 1929"
How were the parts of the palace restored?,parts of the palace were restored according to the architectural fashion of the day
What are some of the best examples of art deco and art nouveau architecture,"consequently, they are considered by some to be the best preserved and finest examples of art deco and art nouveau architecture in greece"
is the north entrance passage exposed after excavation?,"figure 23 portion of the north entrance passage as first exposed after excavation, viewed from the northnortheast, 1901"
the later reconstruction of these excavated remains was to rely heavily on what?,the later reconstruction of these excavated remains was to rely heavily on conjecture (fig. 24)
when was the work of reconstruction brought to a climax?,24). the work of reconstruction was brought to a climax in 1930 with the completion of the throne room and the north portico overlooking the north entrance passage
why was the throne room roofed over for a third time?,the throne room was roofed over for a third time to achieve its present form (figs
How many additional copies of the fresco were added to the earlier griffin?,"9, 11, 12); this included the construction, in reinforced concrete, of the entirely modern upper story, used as a picture gallery for copies of frescoes from various parts of the palace (brown 1983:42)_ in the throne room itself, three additional copies of the griffin fresco were added to the earlier griffin, restored in 1913 by edouard gillieron (fig"
When was the north entrance passage cleared?,"providing one of the main entrances to the palace, the north entrance passage, largely cleared in 19001901, was restored and rebuilt in 1930, complete with a restored replica of the charging bull fresco set up in the portico built on top of the restored west bastion (figs"
When was the west facade of the palace changed?,"23, 24). the west facade of the palace was also radically transformed in the restorations of 1930 (figs"
The west facade of the palace was transformed in what year?,"the west facade of the palace was also radically transformed in the restorations of 1930 (figs. 25, 26)_ figure 24 portico of the north entrance passage, viewed from the northnortheast, 1930"
In what year was the north entrance passage removed?,"25, 26)_ figure 24 portico of the north entrance passage, viewed from the northnortheast, 1930. as part of the reconstruction of the excavated remains (fig"
where was the charging bull fresco installed?,"as part of the reconstruction of the excavated remains (fig. 23), a copy of the charging bull fresco was installed in the portico"
What was installed in the portico?,"23), a copy of the charging bull fresco was installed in the portico. figure 25 west court and west facade of the palace, viewed from the southsouthwest after 1904 and before 1930"
the original foundation of the wall of the west facade of the palace is seen before the completion,the original foundation of the wall of the west facade of the palace is seen sometime before the completion of restoration in 1930 (fig. 26)
What has developed its own historical identity?,"perhaps more so than for any other archaeological monument in the mediterranean, the restoration of the palace (as distinct from the preserved remains of the original building seen here) has developed its own historical identity"
How was the reconstructed wall of the palace built?,"figure 26 west court and west facade of the palace, viewed from the southwest after 1930. the reconstructed wall of the palace was built in concrete directly on the original fabric (fig. 25)"
the weight of what has contributed to the decay of the archaeological remains?,"25). the weight of the new materials on the deteriorated archaeological remains has exacerbated their process of decay. aftermath of the second world war knossos iii _,��""7'� =:""' ""� . .:;"
nikolaos platon and r r r?,"aftermath of the second world war knossos iii _,��""7'� =:""' ""� . .:;.;;;.::p.�..:: .�.�� ""';,jt .' .... ..... "" � immediately after the second world war, nikolaos platon and r"
How many years did platon maintain a major campaign of repairs in the palace?,w hutchinson conducted an initial campaign of cleaning and conservation; platon also undertook a major campaign of repairs in the palace between 1955 and 1960 (hood and taylor 1981:5; with brief annual accounts in kretika chronika)
What was roofed over after the war?,"after the war, various parts of the palace were roofed over"
the area above the royal magazines on the east side was roofed in what?,"the area above the royal magazines on the east side, for example, as well as part of the upper floor built by evans over the west wing, was roofed in concrete (hood and taylor 1981:5)"
During what period was the problem of future responsibility for the site addressed?,"16 during this period, the problem of the future responsibility for the site, including its maintenance, was addressed"
How many years old was evans when he transferred all his personal rightsin the palace?,"in 1926, at the age of seventyfive, evans transferred all his personal rightsin the palace; in his personal house on the site, called the villa ariadne; and in the knossos estateto the british school of archaeology at athens, with the necessary assent of the greek government"
How many things did evans create for the estate?,"17 to supplement income derived from the estate (wine, olives, oil, and grain), evans established securities toward the maintenance of the site and created an endowment for a curator"
How many years was the endowment supplemented by income from the estate?,"it was hoped that the arrangements of 1926 would provide for all emergencies, since the total endowment was estimated to yield £350 a year, and until 1941 the endowment was supplemented by the income from the estate"
During which war did the estate fall out of cultivation?,"during the second world war, however, the estate fell out of cultivation, and the increasing costs in the period immediately after the war made it impossible for the british school to maintain its activities at knossos"
How many years after the managing committee of the school proposed to the greek government did they,"in 1951 the managing committee of the school proposed to the greek government, through the british embassy in athens and with the concurrence of the british foreign office, to hand over the palace with the villa and the freehold estate held in trust for its maintenance"
How many papadopos were accepted by the greek government?,the offer 112 papadopoulos was accepted by the greek government on the centenary of evans's birth;18 since 1951 the greek archaeological service has been entirely responsible for the conservation and maintenance of knossos
When was the problem of the maintenance of the site first mentioned?,"the problem of the maintenance of the site, particularly in light of the growing number of visitors, was deemed serious enough to warrant mention in a 1951 article in the times of london that states: ""there is also the problem of future maintenance"
What is the new name of herakleion?,"growing suburbs of herakleion (formerly candia) are already within walking distance; a vast sanatorium will soon break the skyline; while restaurants, cafes, and shacks, with nocturnal radio, occupy adjacent freeholds which the school cannot afford to buy out"
What is the palace thronged by?,"at weekends and festivals, which are frequent in crete, the palace is thronged by hundreds of local visitors, many of whom regard it rather as a recreation ground than an ancient site, and need supervision if damage is to be avoided"" (myres 1951:7)"
has much additional archaeological work been done on the palace site?,recent excavations much supplementary archaeological work has been carried out on the immediate palace site
Most of it has focused on closer study of what?,"most of it has focused on closer study and reinterpretation of materials excavated by evans, including closer scrutiny of the photographs, plans, drawings, notebooks, and labels of the early excavators"
How many more recent excavations have focused on the minoan town than on pre and post,"19 more recent excavations have concentrated on the minoan town, as well as on the pre and postminoan areas in and around the palace"
who initiated the excavations?,although excavations in the area of the site beyond the palace were initiated in 1900 by d. g
who conducted the excavation and restoration ofhogarth?,"hogarth (hogarth 18991900), and much workin terms of both excavation and restorationwas conducted by evans himself (evans 191114), the great extent of the site assured future researchers of new discoveries"
when did many of these happen?,"many of these were made in the years following the second world war, and they continue to be made"
How many recent excavations have pushed back the prehistory of the site to a more remote,"20 recent excavations have pushed back the prehistory of the site to an even more remote past, in addition to clarifying much of the history of the site in the prepalatial bronze age"
who first uncovered the neolithic settlement of knossos?,"the neolithic settlement of knossos, mostly located below the palace itself and first uncovered by evans, was excavated more thoroughly by j. d"
How many evans were there between 1957 and 1970?,"d. evans between 1957 and 1970 (evans 1964, 1971, 1994; warren et al. 1968; furness 1953)"
What was investigated during the excavations of the central court?,"1968; furness 1953). during these excavations, largeareas of the central court, as well as smaller parts of the west court and elsewhere, were investigated (hood and smyth 1981:6)"
How many years after the arab invasion was the coldstream excavations done?,"early iron age, greek, hellenistic, roman, and early byzantine knossos prior to the arab invasion have received much attention in the years since arthur evans, and numerous excavations have been conducted in the area beyond the palace (brock 1957; coldstream 1973; sackett et al"
How many myers myers and cadogan are there?,"1992; hood and smyth 1981:1627; myers, myers, and cadogan 1992:14546)"
What has the most recent conservation and maintenance efforts at knossos focused on?,"recent conservation, maintenance problems, and future plans the most recent conservation and maintenance efforts at knossos have focused on repairs to evans's reconstruction and on visitor management"
is there a hole in the roof of the domestic quarter?,"figure 27 detail of exposed and decaying iron supports in the roof of the domestic quarter, 1994"
What is the natural process of weathering?,"the extensive use of reinforced concrete earlier in this century, the natural process of weathering, and mass tourism have combined to create a difficult conservation challenge, not only for the fabric of the original monument but also for that of arthur evans's restoration"
What has the use of reinforced concrete done to the original monument?,"knossos 113 the extensive use of reinforced concrete earlier in this century, the process of natural weathering, and the incidence of mass tourism have combined to create a difficult conservation challengenot only for the fabric of the original monument but also for that of evans's restoration"
how many years ago was the concrete poured?,"in certain parts of the reconstructed palace, the concrete poured almost seventy years ago has decayed, exposing many of the reinforcing iron girders, which have themselves begun to decay, thereby threatening the entire structure (fig"
How many times was reinforced concrete used in the palace?,"in other parts of the palace, reinforced concrete was used in places where it proved to be structurally unsoundy moreover, because he often poured concrete directly onto original remains, evans's interventions are largely irreversible"
"What has required recent repair, consolidation, and additional support?","this practice has necessitated recent repair, consolidation, and additional support, not only to the original fabric but also to evans's restorations"
the second source of problems on the site is the arrival of mass what?,a second source of problems is the arrival of mass tourism on the site
What has placed pressure on the original fabric of the monument?,"the onslaught, especially during the summer months, of large groups of visitors, many of which arrive at the same time because of their tour schedules, has placed great pressure on both the original fabric of the monument and on the structural integrity of the restoration"
How much of original paving has been eroded?,"expanses of original paving, for example, have been much eroded, both by natural weathering and by foot traffic; in many formerly paved areas, all that survives is the concrete setting poured by evans around original flagstones (fig"
Many other parts of evans's restoration have been affected by what?,28). many other parts of evans's restoration have also been adversely affected by direct human contact (fig. 29)
For how long have sections of the palace been closed to public access?,"29). sections of the palace have been closed to public access for some time for repair, and a visitor management plan is needed"
How many years after the greek government declared its intent to proceed with a plan was the,"almost fifteen years ago the greek government declared its intent to proceed with such a plan, and in 1993, the study subsequently commissioned was carried out by dr. clairy palyvou"
How many papadopos were funding for the domestic quarter?,"clairy palyvou. although funding for 114 papadopoulos figure 28 eastwest corridor of the domestic quarter, viewed from the west, 1994"
When was the concrete poured?,"while the original paving slabs have been largely eroded by natural weathering as well as foot traffic, the concrete poured in 1928 is often much better preserved"
What was the original fabric of the palace?,"damage and wear, the effects of which are seen here, have prompted the recent conservation of both the original fabric of the palace and that of evans's restoration; moreover, these concerns necessitated a visitor management plan"
What is the name of the central court?,"figure 29 visitors in the central court, viewed from the northwest, 1994"
What is one of the most visited archaeological sites in greece and the mediterranean?,"largely the product of a single man's vision and interpretation, the palace is one of the bestknown and mostvisited archaeological sites in greece and the mediterranean (see tables 17)"
When do large groups of visitors arrive?,"because of similar tour schedules, large groups of visitors arrive during the summer months at the same time; their onset has placed great pressure both on the original fabric of the monument and on the structural integrity of the restoration"
when was the implementation of the plan approved?,"its implementation was approved by vote in 1995, the plan has not yet gone into effect"
"In addition to seismic hazard assessment, what other recent studies have influenced future plans for the palace","zz future plans for the palace have also been strongly influenced by a growing literature on various technical advancessuch as an improved understanding of the physical properties of the original fabric, as well as seismic hazard assessments (see, among other recent studies, papageorgakis and mposkos 1988; makropoulos, drakopoulos, and tselentis 1988; brachert 1991; moraiti and christaras 1992)"
is there a value to knossos?,"issues addressed knossos 115 an archaeological site like knossos has many values, some of which have already been mentioned"
When decisions are made about a site what can create immediate conflicts?,"when decisions are made about a site, attempts to uphold all the values can create immediate conflicts; problems can also arise later when certain values are given preeminence over others"
who carried out the reconstruction and restoration of knossos?,"in the case of knossos, many of the key issues that require attention stem from the reconstruction and restoration carried out by sir arthur evans"
the restoration has placed the historical and scientific values in conflict with what values?,"the restoration, one of the largest and earliest of its kind, has placed the historical and scientific values in conflict with some of the social and economic values"
the need to balance the historical values of a site and its surroundings with the demands of what,the need to balance the historical values of a site and its surroundings with the demands of mass tourism is an issue common to many archaeological sites in the mediterranean
What is an example of knossos?,"at the same time, the example of knossos emphasizes certain issues more clearly than others. among these, the following may be singled out for discussion"
How many phases does evans restoration have?,"prominence given to one historic phase evans's restoration, although in part representing an amalgam of various minoan phases, disregards significant earlier and later remains at the site"
what is the largest neolithic site on crete?,"the casual visitorand often even the specialistcan forget that knossos is the largest neolithic site on crete (the excavated neolithic remains are largely reburied under the central and west courts of the later palace) and, along with gortyna, is one of the two largest greek and roman sites on the island"
What was the name of the period of the early iron age?,"during the early iron age (1100600 b.c.e.), knossos may have been a large and thriving urban nucleus (coldstream 1991)"
does the restoration neglect the historical significance of the site?,"evans's restoration not only neglects the historical significance of the site during other periods but, in fact, actively hides their remains"
Most of the monuments that have been restored are mostly of what period?,"similarly, of the numerous monuments excavated within the vicinity of the palace, the ones that have been restored are mostly of the minoan period"
the scale and accuracy of the restoration and restoration have posed a number of problems for the subsequent,extent and accuracy of the restoration the scale and extent of evans's reconstruction and restoration have posed a number of problems for the subsequent study of the original remains
Is it easy or difficult to distinguish original architectural elements from restored ones?,"in certain parts of the monument, it is difficult to distinguish original architectural elements from restored ones, and in other parts it is often difficult to establish whether original elements incorporated in the reconstruction are in their original positions or have instead been moved from elsewhere"
What was the president of the london society concerned about?,"indeed, the impact of these problems on future research on the original remains was a concern expressed as early as 1927 by the president of the society of antiquaries of london"
the question of the accuracy of restoration has received much attention because of what?,23 the question of the accuracy of the restoration in light of current research and knowledge has received much attention
Who kept the notebooks of daily activities?,"because of the meticulous photographic records kept by the excavators, and especially of the detailed notebooks of daily activities maintained by duncan mackenzie, evans's assistant and supervising field archaeologist, it is possible to reconstruct, to a certain extent, some of the elements of evans's restoration"
Is it clear that some details of the restoration are wrong or correct?,"it is clear, for example, that some details of the restoration are wrongthe position of certain frescoes, even the number of floors in parts of the monument"
How many parts of the palace were restored on the basis of minoan iconography?,"24 moreover, some parts of the palace were 116 papadopoulos restored on the basis of fragmentary, and perhaps littleunderstood, minoan iconography, whereas others were restored in the light of the architectural fashion of the day"
What is most noticeable in the area of and around the throne room?,"this is most noticeable in the area of and around the throne room, parts of which closely resemble art nouveau and art deco buildings of the 1920s (see especially figs. 12, 22)"
What was not always commensurate with minoan practice?,"furthermore, although evans's expressed aim was to preserve the record of the upper floors of the building revealed by the process of excavation (evans 1927:258), the use that some of the restored upper stories were put to was not always commensurate with minoan practice"
"where is the ""picture gallery"" located?","a good example is the ""picture gallery"" above the throne room, an entirely modern upper story used for the display of replicas of frescoes from various parts of the palace"
What is a material alien to the original building?,"introduction of modern building materials related to the issue of accuracy, but itself a source of further problems, is the heavy reliance on reinforced concrete, a material alien to the original building"
Was reinforced concrete more expensive or less expensive than wood?,"regarded by evans as a virtual panacea, reinforced concrete permitted more substantial solutions than wood or iron girders could afford"
What type of materials will allow reversibility of reversibility?,z5 quite apart from the issue of the compatibility of reinforced concrete with the original fabric of the monument is the whole question of reconstruction in permanent or semipermanent materials that do not permit reversibility
What is the restoration of the palace at knossosas distinct from?,"historical identity of evans's restoration perhaps more so than for any other archaeological monument in the mediterranean, the restoration of the palace at knossosas distinct from the original buildinghas developed its own historical identity"
What is one of the most visited archaeological sites in greece and the mediterranean?,"largely the result of one man's vision and interpretation, the palace is one of the bestknown and mostvisited archaeological sites in greece and the mediterranean (tables 17)"
what has the irs elf done recently?,"evans's restoration has irs elf assumed historical significance; this is nowhere more obvious than in the most recent conservation at the site, which has focused on repairing and consolidating the reinforced concrete poured by evans"
do they want to cut down the trees in the palace?,"there has even been reluctance to cut down any of the trees planted by evans, even ones that have interfered with recent excavations or that threaten various parts of the palace"
who has the responsibility for long term conservation and maintenance?,longterm maintenance of the site the example of knossos raises the question of responsibility for longterm conservation and maintenancean issue common to many mediterranean archaeological sites where excavations have been conducted by members of foreign schools or institutions
the excavations at knossos constitute one of the most visible what?,"the excavations at knossos constitute one of the most visible, longterm projects undertaken by a foreign school in greece"
Who worked on the palace itself?,"following evans, several generations of british scholars worked on the palace itself, as well as on many other buildings and cemeteries of various periods at the site"
Who is responsible for conservaacknowledgments?,"although the scholarly work on knossos, including a long list of prestigious publications, has been mainly carried out by members of a foreign school, the direct responsibility for conservaacknowledgments notes knossos 117 tion and maintenance has fallen since 1951 on the shoulders of a national authority, the greek archaeological service"
who is protecting a host nation from foreign cultural resources?,"this history raises the issue of the role currently played, or to be played, by foreign institutions in the protection of the cultural resources of a host nation"
Who was the director of antiquities?,"this study would not have been possible without the support and cooperation of the greek ministry of culture and, particularly, of the director of antiquities, dr. yiannis tsedakis, and his staff"
who provided much useful advice to tsedakis and his staff?,"yiannis tsedakis, and his staff. among others, dr. jordan dimakopoulos discussed various aspects of the project during its early stages and provided much useful advice"
What was the name of the heraklion ephoreia?,"from the very outset, the generous and unstinting support of the heraklion ephoreia assured its success"
who is the ephor for prehistoric and classical antiquities at heraklion?,"special thanks are due to the ephor for prehistoric and classical antiquities at heraklion, dr. alexandra karetsou"
What did the author give away to the author?,"she gave freely of her time and energy and placed at the author's disposal all the various records and other information pertaining to knossos and its surrounds (especially the information provided in tables 57), as well as providing access to all parts of the archaeological site"
who contributed the most to the project?,"thanks are also due to the members of her staff, particularly dr. georgios rethemiotakis. various members of the british school of archaeology at athens have contributed greatly to the project"
who is the knossos curator at the school?,"in this respect, thanks are due to the successive directors of the school, dr. elizabeth french and the late dr. martin price, and especially to dr. colin macdonald, the knossos curator. together dr"
Who was the knossos curator?,"martin price, and especially to dr. colin macdonald, the knossos curator. together dr. macdonald and dr. rethemiotakis were instrumental in facilitating the conference site visit"
where was sir arthur evans buried?,"the extensive archives of sir arthur evans, including the excavation daybooks and the original photographs, now held in the ashmolean museum, oxford, were placed at the author's disposal by the keeper of antiquities, dr"
who owes dr. andrew sherratt a debt?,"p. r. s. moorey; thanks are owed to him, as well as to dr. andrew sherratt and dr. michael vickers, senior assistant keepers"
who are dr sherratt and michael vickers?,"andrew sherratt and dr. michael vickers, senior assistant keepers. from the very outset of this project, the author has benefited greatly from numerous discussions with dr"
Which ofairy palyvou's encyclopedic knowledge is he most grateful for,"clairy palyvou, to whom he is most grateful. he has drawn heavily on both her encyclopedic knowledge of minoan architecture and, particularly, her detailed knowledge of knossos"
Who does the author wish to thank?,"finally, the author wishes to thank his colleagues dr. martha demas and dr"
who was a novice in the mysteries of site management?,"martha demas and dr. nicholas stanleyprice for the pleasure of their company, as well as for initiating a novice into the mysteries of site management. 1"
What was evans's last name?,"1. thus the title of evans's four·volume account of his excavations at knossos (evans 1921, 1928. 1930. 1935)"
who interpreted the kephala hill as a palace?,1930. 1935). the building on the kephala hill was interpreted as a palace soon after the original excavations by minos kalokairinos; thus heinrich schliemann. wilhelm dorpfeld
who thought that the remains uncovered by kalokairinos belonged to a mycen,wilhelm dorpfeld. and ernst fabricius thought that the remains uncovered by kalokairinos belonged to a mycenaean palace (evans 18991900:4; cf. haussoullier 1880; fabricius 1886). the american w j
who believed the labyrinth to be the legendary labyrinth?,haussoullier 1880; fabricius 1886). the american w j. stillman believed the remains to be the legendary labyrinth (stillman 188081). for the contemporary excavations in the town and cemeteries
when was hogarth excavated?,for the contemporary excavations in the town and cemeteries. see hogarth (18991900). 2. the site is located at 35°18' north. 25°10' east. see further myers. myers. and cadogan (1992:13436)
how long is the cadogan?,25°10' east. see further myers. myers. and cadogan (1992:13436). including a brief summary of the geomorphology of the area
what is the physical environment of the knossos area?,including a brief summary of the geomorphology of the area. the physical environment of the knossos area is also overviewed by roberts in hood and smyth (1981 :5); see also hood and taylor (1981:1)
How many ailias are there?,"the area stretches from the road bridge over the streambed north of ayios ioannis in the north to spilia in the south, and from the summit of ailias (ayios elias) on the east to fortetsa in the west (hood and smyth 1981)"
Which village is west of the palace?,"these are clearly marked on the map (hood and smyth 1981) and include the modern village of knossos (formerly bougada metochi) west of the palace; makryteichos on the west bank of the kairatos, northeast of the palace; fortetsa, ambelokipi (teke) and ayios ioannis to the west and north; and kallithea (babali) to the northeast"
Where have the upper stories been recently struck out?,"as early as 1927 arthur evans could claim, 'i\lthough in the work of conservation and reconstitution of the upper stories new lines have been recently struck out at pompeii, at ostia, and elsewhere, it may be fairly said that they have followed the example already set on the site of knossos, where the work has now proceeded with successively improving methods for twentysix years"" (evans 1927:258)"
who wrote in the fifth century b.c.e. 7?,"6. much of this is related by the athenian historian thucydides (1.4), writing in the fifth century b.c.e. 7"
"The reaction of modern visitors to the conferenceto evans is sympathetic, if not","4), writing in the fifth century b.c.e. 7. the reaction of most modern visitorsincluding those of the conferenceto evans's interventions is sympathetic, if not favorable"
When was stanley prices and sullivan published?,"see the comments in stanleyprice and sullivan (1995). 8. evans was particularly interested in an early form of aegean writing, predating alphabetic greek; see evans (1894:270372; 18991900)"
The curious signs on what seemed to have a bearing on the special object of my investigations?,"he writes, ""the curious signs on the gypsum blocks seemed to have a bearing on the special object of my investigations, the existence, namely, in crete of a prehistoric system of writing"" (evans 18991900:4)"
who was the first person to discover linear b tablets?,"evans's expectations were rewarded with the discovery of linear b tablets from the first season of excavations. see also evans (1908, 1909). 9. among the specialists was duncan mackenzie (fig"
Who was evans assistant?,"17), evans's assistant and the supervising field archaeologist responsible for much of the excavation documentation; he was recently described as one of the first scientific workers in the aegean (brown 1983: 19; momigliano 1995)"
Who was the first person to draw the first general plan of the site?,"as architects, evans also employed theodore fyfe (19001904) and later christian doll (190510) (fig. 17). it was fyfe who drew the first general plan of the site (published in evans 18991900:pls"
What school did he become director of?,"12, 13); he later went on to become the director of the cambridge school of architecture (192236) and was the first to publish a paper fully devoted to the conservation and restoration of the palace (fyfe 1926)"
Who was responsible for restoring the grand staircase of the domestic quarter?,"c. t. doll, then architectural student of the british school at athens, was responsible for the massive task of restoring the grand staircase of the domestic quarter (see evans 19045:2326; 1927)"
who was emile gillieron's son?,"evans was also able to afford the services of the swiss artist emile gillieronwho first visited the site as early as 1900and later of his son edouard, who were both responsible for restoring the frescoes"
Where did the elder gillieron run a business?,the elder gillieron served as professor of drawing to the royal greek court; he also ran a business in athens making copies of ancient works of art
who was the first foreman of the excavation?,"even the first foreman of the excavation, gregorios antoniou, brought from cyprus, was an experienced excavator, having spent his youth robbing tombs in cyprus; in later years he assisted d. g"
can you read hogarth's excavations in cyprus?,g. hogarth on excavations in cyprus and crete (brown 1983:15). 10. see hood and taylor (1981:5)
How long have the names used by evans been in use by scholars?,"the names used by evans for the various parts of the palace are often hypothetical, even fanciful; although they can sometimes be bewildering, they have been in constant use by scholars throughout this century and thus have entered into common archaeological usage (hood and taylor 1981:7)"
Is there a proper name for the site?,"for this reason, they are considered to be proper names, rather than descriptive references to the site. 11"
When were the fresco fragments discovered?,11. the wooden columns were modeled after those depicted in various fresco fragments discovered in 1904
Where did the iron girders come from?,"many of the iron girders, imported to crete at great expense, had fallen into the harbor during their unloading at heraklion (brown 1983:81). 12. see shaw (1971)"
who described the fragility of shaw?,12. see shaw (1971). the fragility of the remains is vividly described by the italian anthropologist angelo mosso
What has lost the ivory polish and transparency?,"in 1907 he wrote, with reference to the minoan palace of phaistos, excavated by the scuola archeologica di atene e delle missioni italiane in oriente: the alabaster, from its exposure to the weather, has lost the ivory polish and transparency, and has now the grey shade of melted silver"
the water which has been flowing over it has dried up the azure and roseate veins,the water which has flowed over it has dried up the azure and roseate veins which had had the effect of knossos 119 arabesques upon a pearlcoloured ground
What did the marble splintered like?,"i grieved to think that i was probably the last to contemplate the rosetinted squares of this fine pavement, and i felt both sad and uneasy as i walked upon the slabs, which creaked and splintered as if it were a thin layer of ice upon the marble"
Some of the blocks are black as what?,"some of the blocks are black as velvet from the action of fire, while others are pure white, and have become like sponge beneath the corroding rain, giving the effect of snow on ice or of hailstones heaped up in a ditch after a storm"
when will the palaces of phâ £stos no longer exist?,"within a century the palaces of ph<£stos will exist no longer, and the ruins will only be seen in books"
