question,context
Which type of rock is grittier?,rocks with similar particle sizes but with less clay (greater than 2/3 silt) and therefore grittier are siltstones.[4][5]shales are typically gray in color and are composed of clay minerals and quartz grains. the addition of variable amounts of minor constituents alters the color of the rock
what is another name for ferric oxide?,"the addition of variable amounts of minor constituents alters the color of the rock. red, brown and green colors are indicative of ferric oxide (hematite – reds), iron hydroxide (goethite – browns and limonite – yellow), or micaceous minerals (chlorite, biotite and illite – greens)"
Which state is converted to iron inferric?,[4] the color shifts from reddish to greenish as iron in the oxidized (ferric) state is converted to iron in the reduced (ferrous) state.[6] black shale results from the presence of greater than one percent carbonaceous material and indicates a reducing environment
Which type of rock is rich in carbonate minerals?,[6] black shale results from the presence of greater than one percent carbonaceous material and indicates a reducing environment.[4] pale blue to bluegreen shales typically are rich in carbonate minerals.[7]clays are the major constituent of shales and other mudrocks
Which minerals are the major constituent of shales and mudrocks?,"[4] pale blue to bluegreen shales typically are rich in carbonate minerals.[7]clays are the major constituent of shales and other mudrocks. the clay minerals represented are largely kaolinite, montmorillonite and illite"
What type of rock is formed in late tertiary mudstones?,"the clay minerals represented are largely kaolinite, montmorillonite and illite. clay minerals of late tertiary mudstones are expandable smectites, whereas in older rocks (especially in midto early paleozoic shales) illites predominate"
What is formed by the transformation of smectite to illite?,"the transformation of smectite to illite produces silica, sodium, calcium, magnesium, iron and water. these released elements form authigenic quartz, chert, calcite, dolomite, ankerite, hematite and albite, all trace to minor (except quartz) minerals found in shales and other mudrocks"
How many percent of the typical shale is not quartz?,"[4] a typical shale is composed of about 58% clay minerals, 28% quartz, 6% feldspar, 5% carbonate minerals, and 2% iron oxides.[8] most of the quartz is detrital (part of the original sediments that formed the shale) rather than authigenic (crystallized within the shale after deposition)"
What percentage of organic matter is contained in all sedimentary rocks?,"[9]shales and other mudrocks contain roughly 95 percent of the organic matter in all sedimentary rocks. however, this amounts to less than one percent by mass in an average shale"
How many percent is the difference between the reduced free carbon and ferrous iron?,"however, this amounts to less than one percent by mass in an average shale. black shales, which form in anoxic conditions, contain reduced free carbon along with ferrous iron (fe2+) and sulfur (s2−). amorphous iron sulfide, along with carbon, produce the black coloration"
What is an important pigment for young shales?,"[4] because amorphous iron sulfide gradually converts to pyrite, which is not an important pigment, young shales may be quite dark from their iron sulfide content, in spite of a modest carbon content (less than 1%), while a black color in an ancient shale indicates a high carbon content"
What type of medium does shale act as?,"[7]most shales are marine in origin,[10] and the groundwater in shale formations is often highly saline. there is evidence that shale acts as a semipermeable medium, allowing water to pass through while retaining dissolved salts"
does shale act as a semipermeable medium?,"there is evidence that shale acts as a semipermeable medium, allowing water to pass through while retaining dissolved salts.formation the fine particles that compose shale can remain suspended in water long after the larger particles of sand have been deposited"
Shales are often found where?,"as a result, shales are typically deposited in very slow moving water and are often found in lakes and lagoonal deposits, in river deltas, on floodplains and offshore below the wave base.[13] thick deposits of shale are found near ancient continental margins[13] and foreland basins"
Some of the most widespread shale formations were deposited by what?,[13] thick deposits of shale are found near ancient continental margins[13] and foreland basins.[14] some of the most widespread shale formations were deposited by epicontinental seas
where are black shales found?,"black shales[8] are common in cretaceous strata on the margins of the atlantic ocean, where they were deposited in faultbounded silled basins associated with the opening of the atlantic during the breakup of pangea"
Why were the basins anoxic?,"these basins were anoxic, in part because of restricted circulation in the narrow atlantic, and in part because the very warm cretaceous seas lacked the circulation of cold bottom water that oxygenates the deep oceans today"
When is flocculation very rapid?,"[15]most clay must be deposited as aggregates and floccules, since the settling rate of individual clay particles is extremely slow.[16] flocculation is very rapid once the clay encounters highly saline sea water"
Which clay particles are less than 4 microns in size?,"[16] flocculation is very rapid once the clay encounters highly saline sea water.[17] whereas individual clay particles are less than 4 microns in size, the clumps of clay particles produced by flocculation vary in size from a few tens of microns to over 700 microns in diameter"
What is syneresis?,"the floccules start out waterrich, but much of the water is expelled from the floccules as the clay minerals bind more tightly together over time (a process called syneresis).[18] clay pelletization by organisms that filter feed is important where flocculation is inhibited"
How many metric tons of clay are produced per square kilometer by filter feeders?,[18] clay pelletization by organisms that filter feed is important where flocculation is inhibited. filter feeders produce an estimated 12 metric tons of clay pellets per square kilometer per year along the u.s. gulf coast
How many metric tons of clay are produced per square kilometer per year along the gulf coast,"filter feeders produce an estimated 12 metric tons of clay pellets per square kilometer per year along the u.s. gulf coast.[19]as sediments continue to accumulate, the older, more deeply buried sediments begin to undergo diagenesis"
the sediments on the gulf coast are older and more deeply buried what?,"s. gulf coast.[19]as sediments continue to accumulate, the older, more deeply buried sediments begin to undergo diagenesis. this mostly consists of compaction and lithification of the clay and silt particles"
Which is the first stage of diagenesis?,"[20][21] early stages of diagenesis, described as eogenesis, take place at shallow depths (a few tens of meters) and are characterized by bioturbation and mineralogical changes in the sediments, with only slight compaction.[22] pyrite may be formed in anoxic mud at this stage of diagenesis"
During which stage is pyrite formed in anoxic mud?,"[22] pyrite may be formed in anoxic mud at this stage of diagenesis.[8][23]deeper burial is accompanied by mesogenesis, during which most of the compaction and lithification takes place"
"As sediments move into more compact arrangements, what happens to the pore space?","as the sediments come under increasing pressure from overlying sediments, sediment grains move into more compact arrangements, ductile grains (such as clay mineral grains) are deformed, and pore space is reduced"
"In addition to physical compaction, what else can take place via pressure solution?","[24] in addition to this physical compaction, chemical compaction may take place via pressure solution. points of contact between grains are under the greatest strain, and the strained mineral is more soluble than the rest of the grain"
What happens when the contact points are dissolved away?,"points of contact between grains are under the greatest strain, and the strained mineral is more soluble than the rest of the grain. as a result, the contact points are dissolved away, allowing the grains to come into closer contact"
During what process does shale develop its fissility?,"as a result, the contact points are dissolved away, allowing the grains to come into closer contact.[21]it is during compaction that shale develops its fissility, likely through mechanical compaction of the original open framework of clay particles"
During what process does shale develop its fissility?,"[21]it is during compaction that shale develops its fissility, likely through mechanical compaction of the original open framework of clay particles. the particles become strongly oriented into parallel layers that give the shale its distinctive fabric"
When do the particles become strongly oriented into parallel layers that give shale its distinctive fabric?,"the particles become strongly oriented into parallel layers that give the shale its distinctive fabric.[25] fissility likely develops early in the compaction process, at relatively shallow depth, since fissility does not seem to vary with depth in thick formations"
Which clay is more likely to form nonfissile mudstone?,"[26] kaolinite flakes have less tendency to align in parallel layers than other clays, so kaoliniterich clay is more likely to form nonfissile mudstone than shale"
"Due to binding of hydrocarbon molecules to the faces of the clay particles, is fiss","on the other hand, black shales often have very pronounced fissility (paper shales) due to binding of hydrocarbon molecules to the faces of the clay particles, which weakens the binding between particles"
What contributes to cementing?,"[27]lithification follows closely on compaction, as increased temperatures at depth hasten deposition of cement that binds the grains together. pressure solution contributes to cementing, as the mineral dissolved from strained contact points is redeposited in the unstrained pore spaces"
What contributes to cementing?,"pressure solution contributes to cementing, as the mineral dissolved from strained contact points is redeposited in the unstrained pore spaces. the clay minerals may be altered as well"
At what temperature is smectite altered to illite?,"the clay minerals may be altered as well. for example, smectite is altered to illite at temperatures of about 55 to 200 °c (130 to 390 °f), releasing water in the process"
At what temperature is kaolinite altered to illite?,"for example, smectite is altered to illite at temperatures of about 55 to 200 °c (130 to 390 °f), releasing water in the process.[8] other alteration reactions include the alteration of smectite to chlorite and of kaolinite to illite at temperatures between 120 and 150 °c (250 and 300 °f)"
How many percent of young shales does illite composes?,"[8] because of these reactions, illite composes 80% of precambrian shales, versus about 25% of young shales.[28]unroofing of buried shale is accompanied by telogenesis, the third and final stage of diagenesis"
What is the third and final stage of diagenesis?,"[28]unroofing of buried shale is accompanied by telogenesis, the third and final stage of diagenesis.[22] as erosion reduces the depth of burial, renewed exposure to meteoric water produces additional changes to the shale, such as dissolution of some of the cement to produce secondary porosity"
What are black shales rich in?,"pyrite may be oxidized to produce gypsum.[21]black shales are dark, as a result of being especially rich in unoxidized carbon. common in some paleozoic and mesozoic strata, black shales were deposited in anoxic, reducing environments, such as in stagnant water columns"
Where were black shales deposited?,"common in some paleozoic and mesozoic strata, black shales were deposited in anoxic, reducing environments, such as in stagnant water columns.[8] some black shales contain abundant heavy metals such as molybdenum, uranium, vanadium, and zinc"
Iswood decomposed by microbial agents or microbial agents?,"[8][29][30][31] the enriched values are of controversial origin, having been alternatively attributed to input from hydrothermal fluids during or after sedimentation or to slow accumulation from sea water over long periods of sedimentation.wood is effectively decomposed by microbial agents"
In what environment is wood mainly decomposed?,"wood is effectively decomposed by microbial agents. above ground, in nonwaterlogged environment, wood is mainly degraded by aggressive basidiomycete fungi [1]"
what type of fungi are specialized to degrade lignocellulosic materials?,"above ground, in nonwaterlogged environment, wood is mainly degraded by aggressive basidiomycete fungi [1]. wood degrading fungi and bacteria are specialized to degrade lignocellulosic materials (lignin, cellulose, and hemicelluloses) as a part of the carbon cycle in nature"
What are the main factors that control the process?,"this process is relatively fast; from a few years to a couple of decades. oxygen, high humidity, and temperature are the main factors that control the process [1].archaeological wood is a term used to describe manmade wooden objects and constructions recovered by archaeologists at historical sites"
What is the term used to describe manmade wooden objects and constructions recovered by archaeologists at,archaeological wood is a term used to describe manmade wooden objects and constructions recovered by archaeologists at historical sites. since the end of the 19th century archaeologists observed that archaeological wood can be found well preserved in different types of waterlogged environments
In what year was the oseberg viking ship found?,"from peats, lakes, rivers, sea, and other waterlogged environments, unique historical objects of wood have been excavated, documented, and conserved. one example is the oseberg viking ship, which was found embedded in waterlogged clay at a land site excavation in norway year 1902"
How many years after the warship vasa was raised was it raised again?,"one example is the oseberg viking ship, which was found embedded in waterlogged clay at a land site excavation in norway year 1902. another is the warship vasa, which was raised in 1961 after 333 years in the brackish and cold waters of the baltic sea"
How many years after the warship vasa was raised was it raised again?,"another is the warship vasa, which was raised in 1961 after 333 years in the brackish and cold waters of the baltic sea.in order to understand more about this very sensitive and “selfdestructive” material, chemical analyses were carried out during the 20th century"
During which century were chemical analyses carried out to understand more about the sensitive and destructive material?,"in order to understand more about this very sensitive and “selfdestructive” material, chemical analyses were carried out during the 20th century. they showed that the wood suffered from significant loss of hemicelluloses and celluloses; two of the main components [9], [10], [11], [12]"
When was the general assumption that wood was affected by acid hydrolysis?,"conclusions were drawn and the main hypothesis among conservators and wood chemists until the 1990s was the general assumption that the wood material was affected by acid hydrolysis during the longterm exposure in a waterlogged environment [13], [14]"
How many atypical decay patterns were reported?,"meanwhile, in the field of degradation of plant tissue, biologists studied microbial degradation of wood [1]. with help of light microscopy, fungal attack was successfully identified, but occasionally also atypical decay patterns were reported"
where did atypical decay patterns come from?,"with help of light microscopy, fungal attack was successfully identified, but occasionally also atypical decay patterns were reported. these came usually from foundation poles situated in a waterlogged environment"
Where did the bacteria attack on the wood cell wall come from?,"these came usually from foundation poles situated in a waterlogged environment. in a few reports from the 1940s, 1950s and 1960s, it was suggested that these peculiar degradation patterns could be a result of bacterial attack on the wood cell wall [15], [16], [17], [18], [19]"
when was electron microscopy first used?,"it was not until the 1980s, with help of electron microscopy with a much higher resolution than light microscopy, that it was possible to verify that bacterial degradation in fact was the most dominant type of wood degradation taking place in waterlogged terrestrial and aquatic environments [4], [20], [21], [22], [23]"
What are the two most common degraders in waterlogged environments?,"a brief overview of the two most common degraders in waterlogged environments, erosion bacteria and soft rot fungi is given in the following text"
where are socalled erosion bacteria found?,"erosion bacteria today, we know that the socalled erosion bacteria are the main degraders of archaeological wood found under waterlogged near anaerobic conditions"
What kind of wood was found on the continents?,"this is based on results from both experimental laboratory work as well as investigations on degraded archaeological wood from various terrestrial and aquatic sites worldwide [3], [4], [21], [24], [25]"
where are the interior parts of solid wood constructions situated?,"in contrast to other wood degrading fungi and bacteria, erosion bacteria are able to degrade wood under very low oxygen concentrations which include interior parts of solid wood constructions and wood situated in waterlogged soil, sediments, or waters low in oxygen"
Where does the bacteria enter the cell lumen of the tracheids?,"the bacteria are rod shaped and 2–8 μm in length and 0.5–0.9 μm in diameter (fig. 2). invasion starts from the wood surface through rays and pits, from where the bacteria enter the cell lumen of the tracheids"
From where does the bacteria enter the cell lumen of the tracheids?,"9 μm in diameter (fig. 2). invasion starts from the wood surface through rays and pits, from where the bacteria enter the cell lumen of the tracheids. from here, the bacteria attack and erode the wood cell wall and align themselves along the microfibrils"
How does the bacteria erode the wood cell wall?,"from here, the bacteria attack and erode the wood cell wall and align themselves along the microfibrils. the bacteria convert the cellulose rich secondary cell wall into an amorphous slimy material, whereas the lignin rich middle lamellae remain seemingly unaffected (fig. 3)"
the inability to degrade the middle lamellae or incomplete decay is the reason why archaeological wood,"3). as a result, a coherent network of middle lamellae is still intact despite intense decay by erosion bacteria [26]. this inability to degrade the middle lamellae or one might say incomplete decay, is the reason why archaeological wood still remain its form and integrity in wet condition"
"If the wood is allowed to dry out, will the capillary forces become stronger or weaker","water fills out the degraded cell wall inside each fibre and the fragile middle lamellae provide enough physical strength to maintain the integrity of the wood. but if the wood is allowed to dry out, the capillary forces upon drying are so strong that the wood fibres will collapse and disintegrate"
"if the wood is allowed to dry out, will the capillary forces on the wood become","but if the wood is allowed to dry out, the capillary forces upon drying are so strong that the wood fibres will collapse and disintegrate.erosion bacteria decay develops slowly from surface and inwards until all cellulose rich areas in the wood are utilised"
How old was the viking pole when it was discovered that the process was still active in,"erosion bacteria decay develops slowly from surface and inwards until all cellulose rich areas in the wood are utilised. in a viking pole, 1200 years old, this process was found to be still active in the interior parts [26]"
the rate of decay is not just dependent on what?,"in a viking pole, 1200 years old, this process was found to be still active in the interior parts [26]. this allowed us to suggest that the process may go on for thousands of years. however, the rate of decay is not just dependent on time of burial"
The rate of decay is not just dependent on what?,"this allowed us to suggest that the process may go on for thousands of years. however, the rate of decay is not just dependent on time of burial. in fact, it has been shown that environmental parameters and wood species may play a just as important role for progression of decay [4], [27], [28]"
The true identity of the erosion bacteria has been difficult to clarify despite many efforts over how many,"in fact, it has been shown that environmental parameters and wood species may play a just as important role for progression of decay [4], [27], [28].the true identity of the erosion bacteria has been very difficult to clarify despite many efforts during the last twenty year"
How long has it been difficult to clarify the true identity of the erosion bacteria?,"the true identity of the erosion bacteria has been very difficult to clarify despite many efforts during the last twenty year. isolation and cultivation of single species with traditional methods has failed, which is the case for a majority of bacteria in nature"
How many different bacteria species are there?,"however, in a recent european commission funded research project, bacpoles, it was concluded, with help of dna technique, that erosion bacteria probably is a wide group different bacteria species, where some isolated species belongs to the group of flavobacteria and cytophaga [29]"
dna analyses of waterlogged archaeological wood has shown that the wood host a wide spect,"other dna analyses of waterlogged archaeological wood has showed that the wood host a wide spectre of many different bacteria species, but they are most likely secondary bacteria with other tasks than wood degradation [30]"
the interaction between bacterial and fungal species inside the wood in situ is most interesting and a,the interaction between bacterial and fungal species inside the wood in situ is most interesting and a matter for future research
Which type of fungi degrade wood?,soft rot fungi soft rot fungi degrade wood in both terrestrial and aquatic environments and are considered to have lower requirements for oxygen than basidiomycetes that are active above ground [1]
Which group of ascomycetes and fungi imperfecti are named by the appearance,"soft rot fungi belongs to the group of ascomycetes and fungi imperfecti and are named by the appearance of the wood after decay as the surface turns soft [31].aquatic soft rot fungi are common wood degraders in seawater and other natural water systems like lakes, rivers and ponds"
How many species of soft rot fungi are known from literature?,"aquatic soft rot fungi are common wood degraders in seawater and other natural water systems like lakes, rivers and ponds. more than 400 species are known from literature and novel species are frequently observed and described [32], [33]"
How many species are known from literature and novel species?,"more than 400 species are known from literature and novel species are frequently observed and described [32], [33]. they degrade wood exposed in the water column at low and high depths and at varying waters temperatures [34]"
Which type of fungi are obligate marine?,"they degrade wood exposed in the water column at low and high depths and at varying waters temperatures [34]. some aquatic soft rot fungi are obligate marine which means that they only reproduce and grow in saline waters, whereas other species are obligate fresh water fungi"
A large group of aquatic fungi have a large tolerance for what two things?,"a large group of aquatic fungi have wide tolerance for both water temperatures and salinities, which means that they can be found in wide diverse environments [35]"
Where are the soft rot fungi most active?,"terrestrial soft rot fungi are most active in the upper soil layer where the soil is very wet/humid, or where periodic desiccation provides an environment with varying humidity's"
where are the species most active?,"they are therefore most active in the soil/air interface zone, from where a large number of species have been studied, isolated and identified [1]"
what has the damage done to the poles?,"especially their attack on standing wooden poles has been carefully evaluated, as they are able to cause great harm at the base, which have let to deadly accidents in connection with inspection of telephone poles"
Which decay patterns are similar to the ones observed in aquatic environments?,the terrestrial soft rot decay patterns in wood are well known [36] and seem identical to the decay patterns observed in wood from aquatic environments [37]
Where does hyphae penetrate the wood?,"initial infestation takes place from the wood surface where hyphae penetrate the wood through the natural openings like rays and pits, including vessels of hardwoods [1]"
where is the secondary cell wall located?,"positioned inside the lumen, a local penetration of the massive wood cell wall takes place where the cellulose rich secondary cell wall is target for an advanced enzymatic decay process"
Which type of rot is most common?,"fungal growth spreads to adjacent fibres by hyphal penetration, and in short time a smaller area of the wood is infected.soft rot cause two different types of attack, where type 1 is most common [38]"
How many types of glass disease are there?,"soft rot cause two different types of attack, where type 1 is most common [38]. glass disease, also referred to as sick glass or glass illness, is a degradation process of glass that can result in weeping, crizzling, spalling, cracking and fragmentation"
The composition of a glass will vary with the composition of what element?,"[1][2] glass disease is caused by an inherent instability in the chemical composition of the original glass formula.[3] properties of a particular glass will vary with the type and proportions of silica, alkali and alkaline earth in its composition"
"The composition of a glass will vary with the composition of silica, alkali, and","[3] properties of a particular glass will vary with the type and proportions of silica, alkali and alkaline earth in its composition.[4] once damage has occurred it is irreversible, but decay processes can be slowed by climate control to regulate surrounding temperature, humidity, and air flow"
glass disease is caused by an inherent fault in the chemical composition of what?,glass disease is caused by an inherent fault in the chemical composition of the original glass formula
How many types of component are there in glass?,"[3] glass contains three types of components: network formers establish basic structure, network stabilizers make glass strong and water resistant, and flux lowers the melting point at which the glass can be formed"
Which element is used to stabilize glass?,"[5] common formulations of glass may include silica (sio2) as a former, alkali oxides such as soda (na2o) or potash (k2o) for flux, and alkaline earth oxides such as lime (cao) for stabilizing.[4][5]structurally, glass is composed of a network of sio4tetrahedrons"
Which two alkaline ions are present in glass?,"[4][5]structurally, glass is composed of a network of sio4tetrahedrons. in addition to the network former silicon which establishes its principal structure, glass contains network modifying agents such as the alkali ions na+ and k+ and the alkali earth ions ca2+ and mg2+"
"Given all glass is chemically unstable, will it have a defined stoichiometry or a defined","glass does not have a defined stoichiometry, rather the network is flexible. it can incorporate other ions, depending upon factors such as the main composition and firing conditions of the glass.[6] this causes almost all glass to be chemically unstable to some extent"
the likelihood of degradation due to glass disease depends on the amount of alkaline compounds mixed with,"[6] this causes almost all glass to be chemically unstable to some extent.[7]the likelihood of degradation due to glass disease depends on the amount and proportion of alkaline compounds mixed with silica, and on surrounding conditions"
 alkali can leach out of a glass due to high levels of what?,[3] inadequate calcium oxide causes the alkalis in the glass to remain watersoluble at a low level of humidity. exposure to higher levels of relative humidity during storage or display causes alkali to hydrate and leach out of the glass. repeated changes in humidity can be particularly damaging
what can happen to glass if exposed to unsuitable conditions?,repeated changes in humidity can be particularly damaging. it is important to realize that any glass object can deteriorate if it is exposed to unsuitable environmental conditions
What should never be exposed to the high temperatures of a dishwasher?,"it is important to realize that any glass object can deteriorate if it is exposed to unsuitable environmental conditions.[9] crystal, historic glass, or treasured family items should never be exposed to the high temperatures and water pressure of a dishwasher"
Sims are an example of what type of microscopy?,"[10][11]energy dispersive xray analysis (edxa),[1][8] scanning electron microscopy (sem) and secondary ion mass spectrometry (sims) can be used to study exchange reactions in different types of glass"
How can the mechanisms of glass disease be understood?,"by quantifying and studying chemical structure and reactions at the nearsurface layer, the mechanisms of glass disease can be better understood"
"If glass surfaces have a matte surface or have been exposed to kaolin or other substances,","[7] measurement of the ph of glass surfaces is particularly important if glass objects have a matte surface, or have been exposed to kaolin or other substances"
can ph measurement be used to determine if alkaline salts are present in glass beads?,"in the case of extremely small objects such as glass beads, ph measurement may be necessary to determine whether alkaline salts are present and changes in the glass are occurring"
The processes involved in glass disease can reduce the integrity of the structure or even what?,[9][12]the processes involved in glass disease can reduce the transparency of the glass or even threaten the integrity of the structure
the initial stage of glass disease occurs when moisture causes what to be leached out of the,"glass disease causes a complex disintegration of the glass which can be identified through a variety of symptoms, including weeping, crizzling, spalling, cracking and fragmentation.[3]the initial stage of glass disease occurs when moisture causes alkali to be leached out of the glass"
 alkali deposits on glass give it a cloudy or hazy appearance?,[3]the initial stage of glass disease occurs when moisture causes alkali to be leached out of the glass. this becomes apparent when hygroscopic alkali deposits on the glass give it a cloudy or hazy appearance.[7][13] this may occur within as little as five to 10 years of the glass's manufacturing
Is it possible for glass to feel slippery or slimy?,"[7][13] this may occur within as little as five to 10 years of the glass's manufacturing. the glass may feel slippery or slimy[10] and tiny droplets, or weeping, may be seen in high humidity (above 55%)"
At what temperature can tiny droplets of water be seen on the surface of a glass?,"the glass may feel slippery or slimy[10] and tiny droplets, or weeping, may be seen in high humidity (above 55%).[14] the hydrated alkali can form fine crystals on the surface of the glass in low relative humidity (below 40%)"
At what temperature can alkaline crystals form on the surface of a glass?,"[14] the hydrated alkali can form fine crystals on the surface of the glass in low relative humidity (below 40%).[4]at this stage, it may be possible to gently wash the glass and remove the surface alkali"
"To stabilize the glass by reducing the surface ph, you can do what?","[4]at this stage, it may be possible to gently wash the glass and remove the surface alkali.[14] this will help to stabilize the glass by reducing the surface ph, and by removing dust, soiling, and hygroscopic components that attract further moisture"
"if alkali builds up on the surface of the glass, will the decay process begin or","[9]if alkali builds up due to ion exchange, and remains on the surface of the glass, the decay process will accelerate. the presence of sodium or potassium ions in the alkali build up will increase the ph on the surface of the glass, causing it to become basic"
will the presence of sodium or potassium ions in the alkali build up or decrease the ph,"the presence of sodium or potassium ions in the alkali build up will increase the ph on the surface of the glass, causing it to become basic. this will dissolve silica from the glass as well as releasing more alkali ions"
Is the haziness of the glass higher or lower when washed and dried?,"this will dissolve silica from the glass as well as releasing more alkali ions.[10][7]the haziness seen on the glass may not disappear entirely when washed and dried. when examined closely at an angle with a low light, fine cracks like tiny silvery lines or shimmering rays, may be visible"
the cracks in glass are caused by the loss of what?,"when examined closely at an angle with a low light, fine cracks like tiny silvery lines or shimmering rays, may be visible.[13] a microscope can confirm the presence of cracks. the cracks are caused by the loss of alkali, which leaves microscopic gaps in the structure of the glass"
the cracks in the glass are caused by the loss of what?,"the cracks are caused by the loss of alkali, which leaves microscopic gaps in the structure of the glass.[14]as higher amounts of alkali leach from the glass cracks are likely to become deeper. crizzling is a distinctive network of fine cracks in the glass which is visible to the naked eye"
Crizzling is a distinctive network of fine cracks in what?,"crizzling is a distinctive network of fine cracks in the glass which is visible to the naked eye.[3][15] in some cases, the crazing can gain a more uniform appearance.[13] however, crizzling may not be uniform due to the creation of microclimates on the glass"
"Due to the creation of microclimates on the glass, what may not appear on the","[13] however, crizzling may not be uniform due to the creation of microclimates on the glass.[14]distinct cracks may appear on the surface of the glass, and surface material may flake or chip, a process referred to as spalling"
What is it called when the surface material of a glass is damaged or split?,"[14]distinct cracks may appear on the surface of the glass, and surface material may flake or chip, a process referred to as spalling.[14][13]in the most severe stage of deterioration, the structural integrity of the glass has been lost and the glass may separate into pieces"
"in the earliest stage of glass disease, it may be possible to wash the glass to remove","[14][13]in the most severe stage of deterioration, the structural integrity of the glass has been lost and the glass may separate into pieces.in the earliest stage of glass disease, it may be possible to wash the glass to remove the surface alkali"
how to remove alkali from glass?,"in the earliest stage of glass disease, it may be possible to wash the glass to remove the surface alkali. the corning museum of glass recommends washing with tap water (tepid, not hot[18]) and a mild (nonionic[18]) conservation detergent"
how to wash corning museum of glass?,"the corning museum of glass recommends washing with tap water (tepid, not hot[18]) and a mild (nonionic[18]) conservation detergent. this should be followed by rinsing with deionized or distilled water, and careful drying to remove moisture"
remove surface deposits from glass,"this should be followed by rinsing with deionized or distilled water, and careful drying to remove moisture. careful washing can remove surface deposits, restore the appearance of clearness to the glass, and help to slow further deterioration"
Which has been suggested for cleaning glass beads?,"careful washing can remove surface deposits, restore the appearance of clearness to the glass, and help to slow further deterioration.[19][18] ethanol has also been suggested for cleaning, particularly for glass beads, depending on the surrounding materials that may be affected"
"If there is a serious damage to glass beads, what is an intervention?","[19][18] ethanol has also been suggested for cleaning, particularly for glass beads, depending on the surrounding materials that may be affected.[9]once more serious damage has occurred, it cannot be reversed. climate control of humidity and temperature is a possible intervention"
Crizzling results from the reaction of components of the glass with water vapour and,"[9]once more serious damage has occurred, it cannot be reversed. climate control of humidity and temperature is a possible intervention. because crizzling results from the reaction of components of the glass with water vapour, controlling humidity and temperature can slow its occurrence"
What is the humidity of the corning museum of glass?,"[3] at the corning museum of glass, items in the collection are kept at stable levels of relative humidity, between 40 and 55 percent.[10] fans may be used within a case to encourage the movement of air and minimize adsorption of moisture on the glass surface"
"To prevent moisture from remaining on the glass, fans are often used where?",[10] fans may be used within a case to encourage the movement of air and minimize adsorption of moisture on the glass surface. deterioration is more likely to occur in areas with restricted airflow which allow moisture to remain on the glass
Is corrosion rate higher or lower in areas with restricted airflow?,deterioration is more likely to occur in areas with restricted airflow which allow moisture to remain on the glass.[14] chemical methods for retarding corrosion rates and stabilizing surfaces are being investigated
What is being investigated when a composite object contains a variety of materials?,"[14] chemical methods for retarding corrosion rates and stabilizing surfaces are being investigated.[4]when a composite object contains a variety of materials, one of which is sick glass, the considerations involved in conserving and displaying the object become more complicated"
What kind of apron did the british museum conserve?,"for example, the british museum chose to conserve and display a siberian shamanic apron made of leather, glass and other materials"
"if a unique object was shown to decay quickly, would it likely decay faster or slower?",they weighed the likelihood that it would decay more quickly if shown against the desirability of making a unique object visible and the inevitability of its eventual degradation
What ensures access to the beautiful and unique object is maximized before the pale yellow beads are,"""its conservation and display ensures that access to this beautiful and unique object is maximized before the pale yellow beads, which are intrinsic to the object, are inevitably lost beyond repair"
What has remained the same over the last decade?,"""[1]our methods and field techniques have evolved over the last decade, but the principal aspects of wall conservation have remained the same"
the first stage of architectural stabilization was to remove as much as possible of the ancient earth mortar,the first stage of architectural stabilization was to remove as much as possible of the ancient earth mortar from between the wall stones on all exposed facets of the walls
Clean the interstices of wall blocks to a depth of how many cm?,"the purpose was to clean the interstices of the wall blocks to a depth of about 10 cm, or as deeply as possible into the wall face, without moving or destabilizing the original position or coursing of the stones (figs. 45)"
How did we initially dig out the ancient mortar?,"45). while we initially used smalldiameter iron rods, ice picks, and small hand picks, to dig out the ancient mortar by hand, we later employed airpressure pistolshaped hammers, powered by air compressors, and fitted with a narrow wedge or chiselshaped head (fig. 6)"
how to clean walls before application of the mortar?,"6).once the ancient mortar was removed, the wall was washed carefully with a hose or sprayer, using the water pressure to clean the surfaces and interstices of the stones (fig. 7). washing the walls before application of the mortar was critical"
the process of washing the walls before application of the mortar was critical because it reduced the temperature,"7). washing the walls before application of the mortar was critical. the process cleans and reduces the temperature of the surfaces of the wall stones facilitating the adherence, setting, and longterm stability of the compound"
the material we used to make the base for the base was what?,"the mortar material we used experimentally in 2003 consisted of a mixture of lime, white cement, tephra, and a combination of fine and coarsegrain sand"
How long did it take to remove the lime and tephra from the mixture?,"after observing the condition of the mortar after a year, we noticed that the material adhered well to the masonry, but wider interstices were less stable and some cracks were evident. in 2004 we removed the lime and tephra from the mixture, using principally sand and white cement"
when did we remove the lime and tephra from the mixture?,"in 2004 we removed the lime and tephra from the mixture, using principally sand and white cement.the final stages of wall conservation are equally arduous: this is the application of the mortar, and then the scraping of the interstices (fig. 8)"
How to compact a brick wall?,"8). when applied, the mortar compound must be compacted deeply into the spaces between wall stones, normally using one’s fingers at first, and then wooden pegs, hammers and mallets"
were aircompressor pistols effective or not effective?,"at this stage the aircompressor pistols were effective; fitted with customfashioned hammershaped spikes, they could be used to pound the mortar deeply in between the wall stones, with considerable precision (fig. 9)"
what was the most important aspect of the final stage of the process?,"these final stages of the process were perhaps the most important, as the bond between the mortar and stone must create a clean and even seam, sealing the spaces between wall stones completely so that no rain or windborn soil and vegetation can penetrate the exposed surfaces to take root in the wall"
