passages,questions
"[4]tiling grout is often used to fill the spaces between tiles or mosaics and to secure tile to its base. although ungrouted mosaics do exist, most have grout between the tesserae",is there grout between the tesserae in mosaics?
"although ungrouted mosaics do exist, most have grout between the tesserae. tiling grout is also cement based, and is produced in sanded and unsanded varieties, which affects the strength, size, and appearance of the grout",is there grout between the tesserae and the grout?
"tiling grout is also cement based, and is produced in sanded and unsanded varieties, which affects the strength, size, and appearance of the grout.[5] the sanded variety contains finely ground silica sand; unsanded is finer and produces a smoother final surface",Which type of grout is produced with finely ground silica sand?
[5] the sanded variety contains finely ground silica sand; unsanded is finer and produces a smoother final surface. they are often enhanced with polymers and/or latex,What type of sand is used to create a smoother final surface?
"they are often enhanced with polymers and/or latex.[6]structural grout is often used in reinforced masonry to fill voids in masonry housing reinforcing steel, securing the steel in place, and bonding it to the masonry",What is used in reinforced masonry to fill voids in masonry?
"[2] nonshrinking grout is used beneath metal bearing plates to ensure a consistent bearing surface between the plate and its substrate, which adds stability and allows for higher load transfers",What is the purpose of nonshrinking grout?
"[7]portland cement is the most common cementing agent in grout, but thermoset polymer matrix grouts based on thermosets such as urethanes and epoxies are also popular",What is the most common cementing agent in grout?
"[8]portland cement based grouts include different varieties depending on the particle size of the ground clinker used to make the cement, with a standard size around 15 microns, microfine from 6–10 microns, and ultrafine below 5 microns",What is the standard size of pportland cement based grouts?
"finer particle sizes let the grout penetrate more deeply into a fissure. because these grouts depend on the presence of sand for their basic strength, they are often somewhat gritty when finally cured and hardened",what do grouts depend on for their basic strength?
"because these grouts depend on the presence of sand for their basic strength, they are often somewhat gritty when finally cured and hardened.from the different types of grout, a suitable one has to be chosen depending on the load. for example, a load up to 7",Which type of grout has the least amount of sand?
"for example, a load up to 7.5 tons can be expected for a garage access [two component pavement joint mortar (traffic load)], whereas a cobbled garden path is only designed for a pedestrian load [one component pavement joint mortar (pedestrian load)]","Which load is designed for a pedestrian load, one component pavement joint mortar (pedestrian"
"furthermore, various substructures determine whether the type of grout should be permanently permeable to water or waterproof, for example, by concrete subfloor.the mechanisms behind mortar deterioration erosion is not a brick structure's friend",What is not a brick structure's friend?
"the mechanisms behind mortar deterioration erosion is not a brick structure's friend. in springtime we have dry winds and light rains, followed by summer with frequent rain and extreme heat. the dampness combined with the heat causes the expansion of brick and the surrounding mortar",When is the most likely time for brick to be damaged?
"the dampness combined with the heat causes the expansion of brick and the surrounding mortar. whereas, when wintertime rolls around, we have very cold temperatures, and in some australian locales   freezing temperatures",When does the dampness and heat cause expansion of brick?
"whereas, when wintertime rolls around, we have very cold temperatures, and in some australian locales   freezing temperatures. the cold tends to cause contraction and shrinkage of bricks and mortar   ever so slightly",when do we have very cold temperatures?
the cold tends to cause contraction and shrinkage of bricks and mortar   ever so slightly.frozen droplets of water between joints actually expand and chip small bits of mortar away (ice takes up more space than water   don't freeze your beers!). this is known as spalling of the mortar,ice takes up more space than what?
"this is known as spalling of the mortar.these expansions and contractions due to weather culminate to show signs of weathering in your structure's mortar over the years and will present as cracked, crumbling or chipped away sections",spalling of the mortar is an example of what?
"if there are sections that have been exposed to prolonged dampness, the mortar may appear discoloured too.let us not forget, that rain and wind also carry away small grains of mortar from your structures over the years",rain and wind also carry away small grains of what?
"combine these effects with land movement, corrosion from salt in ocean air and its effects on corroding lintels, arch bars and wall ties   it is evident why, although strong and hard wearing, brick structures can not last forever without a little help from masonry experts who are experts in brick repairs and repointing, sydney",can brick structures last forever?
"structural consequences water entering the structure unfortunately, with deteriorating mortar, comes a reduction in the structure's ability to repel water. small cracks and holes over time allow the passage of water into and around walls which can collect and sit",What has a decreased ability to repel water?
"small cracks and holes over time allow the passage of water into and around walls which can collect and sit. if unable to drain away or dry, this can lead to excessive moisture in the building and can develop mould. this then becomes a health risk as mould",mold is a health risk in a building due to what?
"if unable to drain away or dry, this can lead to excessive moisture in the building and can develop mould. this then becomes a health risk as mould. spores are highly mobile and harmful when inhaled over prolonged periods of time",mold spores are highly mobile and harmful when inhaled over prolonged periods of time?
"this then becomes a health risk as mould. spores are highly mobile and harmful when inhaled over prolonged periods of time.deterioration in structure the deteriorating mortar, when unable to sustain the load of the bricks above it, begins to crack and crumble",mold spores are highly what?
"deterioration in structure the deteriorating mortar, when unable to sustain the load of the bricks above it, begins to crack and crumble. the cracking can lead to pieces of brickwork falling off or requiring removal during remediation work",What can happen to pieces of brickwork falling off or requiring removal during remediation work?
the cracking can lead to pieces of brickwork falling off or requiring removal during remediation work. some sections may drop out entirely if their support has completely failed   especially around failing lintels.uneven wear and tear masonry joints don’t wear evenly,what can happen to pieces of brickwork falling off or requiring removal during remediation work
"uneven wear and tear masonry joints don’t wear evenly. different parts of a façade are more exposed to the elements, and those with more exposure, typically see water damage setting in sooner   which can lead to the masonry's failure over time",Do all masonry joints wear evenly or unevenly?
"rest, there is a fix!shale is a fine grained, clastic sedimentary rock formed from mud that is a mix of flakes of clay minerals (hydrous aluminium phyllosilicates, e.g. kaolin, al2si2o5(oh)4) and tiny fragments (silt sized particles) of other minerals, especially quartz and calcite","is there a fix!shale a fine grained, clastic sedimentary rock formed"
"g. kaolin, al2si2o5(oh)4) and tiny fragments (silt sized particles) of other minerals, especially quartz and calcite.[1] shale is characterized by its tendency to split into thin layers (laminae) less than one centimeter in thickness. this property is called fissility",What is another name for thick layers of shale?
"this property is called fissility.[1] shale is the most common sedimentary rock.[2]the term shale is sometimes applied more broadly, as essentially a synonym for mudrock, rather than in the more narrow sense of clay rich fissile mudrock",Which rock is the most common sedimentary rock?
"[3]texture shale typically exhibits varying degrees of fissility. because of the parallel orientation of clay mineral flakes in shale, it breaks into thin layers, often splintery and usually parallel to the otherwise indistinguishable bedding planes",Why does texture shale have varying degrees of fissility?
[4] non fissile rocks of similar composition and particle size (less than 0.0625 mm) are described as mudstones (1/3 to 2/3 silt particles) or claystones (less than 1/3 silt). rocks with similar particle sizes but with less clay (greater than 2/3 silt) and therefore grittier are siltstones,What type of rocks have smaller particle sizes but larger silt particles?
rocks with similar particle sizes but with less clay (greater than 2/3 silt) and therefore grittier are siltstones.[4][5]shales are typically gray in color and are composed of clay minerals and quartz grains. the addition of variable amounts of minor constituents alters the color of the rock,Which type of rock is grittier?
"the addition of variable amounts of minor constituents alters the color of the rock. red, brown and green colors are indicative of ferric oxide (hematite – reds), iron hydroxide (goethite – browns and limonite – yellow), or micaceous minerals (chlorite, biotite and illite – greens)",what is another name for ferric oxide?
[4] the color shifts from reddish to greenish as iron in the oxidized (ferric) state is converted to iron in the reduced (ferrous) state.[6] black shale results from the presence of greater than one percent carbonaceous material and indicates a reducing environment,Which state is converted to iron inferric?
[6] black shale results from the presence of greater than one percent carbonaceous material and indicates a reducing environment.[4] pale blue to blue green shales typically are rich in carbonate minerals.[7]clays are the major constituent of shales and other mudrocks,Which type of rock is rich in carbonate minerals?
"[4] pale blue to blue green shales typically are rich in carbonate minerals.[7]clays are the major constituent of shales and other mudrocks. the clay minerals represented are largely kaolinite, montmorillonite and illite",Which minerals are the major constituent of shales and mudrocks?
"the clay minerals represented are largely kaolinite, montmorillonite and illite. clay minerals of late tertiary mudstones are expandable smectites, whereas in older rocks (especially in mid to early paleozoic shales) illites predominate",What type of rock is formed in late tertiary mudstones?
"the transformation of smectite to illite produces silica, sodium, calcium, magnesium, iron and water. these released elements form authigenic quartz, chert, calcite, dolomite, ankerite, hematite and albite, all trace to minor (except quartz) minerals found in shales and other mudrocks",What is formed by the transformation of smectite to illite?
"[4] a typical shale is composed of about 58% clay minerals, 28% quartz, 6% feldspar, 5% carbonate minerals, and 2% iron oxides.[8] most of the quartz is detrital (part of the original sediments that formed the shale) rather than authigenic (crystallized within the shale after deposition)",How many percent of the typical shale is not quartz?
"[9]shales and other mudrocks contain roughly 95 percent of the organic matter in all sedimentary rocks. however, this amounts to less than one percent by mass in an average shale",What percentage of organic matter is contained in all sedimentary rocks?
"however, this amounts to less than one percent by mass in an average shale. black shales, which form in anoxic conditions, contain reduced free carbon along with ferrous iron (fe2+) and sulfur (s2−). amorphous iron sulfide, along with carbon, produce the black coloration",How many percent is the difference between the reduced free carbon and ferrous iron?
"[4] because amorphous iron sulfide gradually converts to pyrite, which is not an important pigment, young shales may be quite dark from their iron sulfide content, in spite of a modest carbon content (less than 1%), while a black color in an ancient shale indicates a high carbon content",What is an important pigment for young shales?
"[7]most shales are marine in origin,[10] and the groundwater in shale formations is often highly saline. there is evidence that shale acts as a semipermeable medium, allowing water to pass through while retaining dissolved salts",What type of medium does shale act as?
"there is evidence that shale acts as a semipermeable medium, allowing water to pass through while retaining dissolved salts.formation the fine particles that compose shale can remain suspended in water long after the larger particles of sand have been deposited",does shale act as a semipermeable medium?
"as a result, shales are typically deposited in very slow moving water and are often found in lakes and lagoonal deposits, in river deltas, on floodplains and offshore below the wave base.[13] thick deposits of shale are found near ancient continental margins[13] and foreland basins",Shales are often found where?
[13] thick deposits of shale are found near ancient continental margins[13] and foreland basins.[14] some of the most widespread shale formations were deposited by epicontinental seas,Some of the most widespread shale formations were deposited by what?
"black shales[8] are common in cretaceous strata on the margins of the atlantic ocean, where they were deposited in fault bounded silled basins associated with the opening of the atlantic during the breakup of pangea",where are black shales found?
"these basins were anoxic, in part because of restricted circulation in the narrow atlantic, and in part because the very warm cretaceous seas lacked the circulation of cold bottom water that oxygenates the deep oceans today",Why were the basins anoxic?
"[15]most clay must be deposited as aggregates and floccules, since the settling rate of individual clay particles is extremely slow.[16] flocculation is very rapid once the clay encounters highly saline sea water",When is flocculation very rapid?
"[16] flocculation is very rapid once the clay encounters highly saline sea water.[17] whereas individual clay particles are less than 4 microns in size, the clumps of clay particles produced by flocculation vary in size from a few tens of microns to over 700 microns in diameter",Which clay particles are less than 4 microns in size?
"the floccules start out water rich, but much of the water is expelled from the floccules as the clay minerals bind more tightly together over time (a process called syneresis).[18] clay pelletization by organisms that filter feed is important where flocculation is inhibited",What is syneresis?
[18] clay pelletization by organisms that filter feed is important where flocculation is inhibited. filter feeders produce an estimated 12 metric tons of clay pellets per square kilometer per year along the u.s. gulf coast,How many metric tons of clay are produced per square kilometer by filter feeders?
"filter feeders produce an estimated 12 metric tons of clay pellets per square kilometer per year along the u.s. gulf coast.[19]as sediments continue to accumulate, the older, more deeply buried sediments begin to undergo diagenesis",How many metric tons of clay are produced per square kilometer per year along the gulf coast
"s. gulf coast.[19]as sediments continue to accumulate, the older, more deeply buried sediments begin to undergo diagenesis. this mostly consists of compaction and lithification of the clay and silt particles",the sediments on the gulf coast are older and more deeply buried what?
"[20][21] early stages of diagenesis, described as eogenesis, take place at shallow depths (a few tens of meters) and are characterized by bioturbation and mineralogical changes in the sediments, with only slight compaction.[22] pyrite may be formed in anoxic mud at this stage of diagenesis",Which is the first stage of diagenesis?
"[22] pyrite may be formed in anoxic mud at this stage of diagenesis.[8][23]deeper burial is accompanied by mesogenesis, during which most of the compaction and lithification takes place",During which stage is pyrite formed in anoxic mud?
"as the sediments come under increasing pressure from overlying sediments, sediment grains move into more compact arrangements, ductile grains (such as clay mineral grains) are deformed, and pore space is reduced","As sediments move into more compact arrangements, what happens to the pore space?"
"[24] in addition to this physical compaction, chemical compaction may take place via pressure solution. points of contact between grains are under the greatest strain, and the strained mineral is more soluble than the rest of the grain","In addition to physical compaction, what else can take place via pressure solution?"
"points of contact between grains are under the greatest strain, and the strained mineral is more soluble than the rest of the grain. as a result, the contact points are dissolved away, allowing the grains to come into closer contact",What happens when the contact points are dissolved away?
"as a result, the contact points are dissolved away, allowing the grains to come into closer contact.[21]it is during compaction that shale develops its fissility, likely through mechanical compaction of the original open framework of clay particles",During what process does shale develop its fissility?
"[21]it is during compaction that shale develops its fissility, likely through mechanical compaction of the original open framework of clay particles. the particles become strongly oriented into parallel layers that give the shale its distinctive fabric",During what process does shale develop its fissility?
"the particles become strongly oriented into parallel layers that give the shale its distinctive fabric.[25] fissility likely develops early in the compaction process, at relatively shallow depth, since fissility does not seem to vary with depth in thick formations",When do the particles become strongly oriented into parallel layers that give shale its distinctive fabric?
"[26] kaolinite flakes have less tendency to align in parallel layers than other clays, so kaolinite rich clay is more likely to form nonfissile mudstone than shale",Which type of clay is more likely to form nonfissile mudstone?
"on the other hand, black shales often have very pronounced fissility (paper shales) due to binding of hydrocarbon molecules to the faces of the clay particles, which weakens the binding between particles","Due to binding of hydrocarbon molecules to the faces of the clay particles, is fiss"
"[27]lithification follows closely on compaction, as increased temperatures at depth hasten deposition of cement that binds the grains together. pressure solution contributes to cementing, as the mineral dissolved from strained contact points is redeposited in the unstrained pore spaces",What contributes to cementing?
"pressure solution contributes to cementing, as the mineral dissolved from strained contact points is redeposited in the unstrained pore spaces. the clay minerals may be altered as well",What contributes to cementing?
"the clay minerals may be altered as well. for example, smectite is altered to illite at temperatures of about 55 to 200 °c (130 to 390 °f), releasing water in the process",At what temperature is smectite altered to illite?
"for example, smectite is altered to illite at temperatures of about 55 to 200 °c (130 to 390 °f), releasing water in the process.[8] other alteration reactions include the alteration of smectite to chlorite and of kaolinite to illite at temperatures between 120 and 150 °c (250 and 300 °f)",At what temperature is kaolinite altered to illite?
"[8] because of these reactions, illite composes 80% of precambrian shales, versus about 25% of young shales.[28]unroofing of buried shale is accompanied by telogenesis, the third and final stage of diagenesis",How many percent of young shales does illite composes?
"[28]unroofing of buried shale is accompanied by telogenesis, the third and final stage of diagenesis.[22] as erosion reduces the depth of burial, renewed exposure to meteoric water produces additional changes to the shale, such as dissolution of some of the cement to produce secondary porosity",What is the third and final stage of diagenesis?
"pyrite may be oxidized to produce gypsum.[21]black shales are dark, as a result of being especially rich in unoxidized carbon. common in some paleozoic and mesozoic strata, black shales were deposited in anoxic, reducing environments, such as in stagnant water columns",What are black shales rich in?
"common in some paleozoic and mesozoic strata, black shales were deposited in anoxic, reducing environments, such as in stagnant water columns.[8] some black shales contain abundant heavy metals such as molybdenum, uranium, vanadium, and zinc",Where were black shales deposited?
"[8][29][30][31] the enriched values are of controversial origin, having been alternatively attributed to input from hydrothermal fluids during or after sedimentation or to slow accumulation from sea water over long periods of sedimentation.wood is effectively decomposed by microbial agents",Iswood decomposed by microbial agents or microbial agents?
"wood is effectively decomposed by microbial agents. above ground, in non waterlogged environment, wood is mainly degraded by aggressive basidiomycete fungi [1]",In what environment is wood mainly decomposed?
"above ground, in non waterlogged environment, wood is mainly degraded by aggressive basidiomycete fungi [1]. wood degrading fungi and bacteria are specialized to degrade lignocellulosic materials (lignin, cellulose, and hemicelluloses) as a part of the carbon cycle in nature",what type of fungi are specialized to degrade lignocellulosic materials?
"this process is relatively fast; from a few years to a couple of decades. oxygen, high humidity, and temperature are the main factors that control the process [1].archaeological wood is a term used to describe man made wooden objects and constructions recovered by archaeologists at historical sites",What are the main factors that control the process?
archaeological wood is a term used to describe man made wooden objects and constructions recovered by archaeologists at historical sites. since the end of the 19th century archaeologists observed that archaeological wood can be found well preserved in different types of waterlogged environments,How many types of waterlogged environments can archaeological wood be found in?
"from peats, lakes, rivers, sea, and other waterlogged environments, unique historical objects of wood have been excavated, documented, and conserved. one example is the oseberg viking ship, which was found embedded in waterlogged clay at a land site excavation in norway year 1902",In what year was the oseberg viking ship found?
"one example is the oseberg viking ship, which was found embedded in waterlogged clay at a land site excavation in norway year 1902. another is the warship vasa, which was raised in 1961 after 333 years in the brackish and cold waters of the baltic sea",How many years after the warship vasa was raised was it raised again?
"another is the warship vasa, which was raised in 1961 after 333 years in the brackish and cold waters of the baltic sea.in order to understand more about this very sensitive and “self destructive” material, chemical analyses were carried out during the 20th century",How many years after the warship vasa was raised was it raised again?
"in order to understand more about this very sensitive and “self destructive” material, chemical analyses were carried out during the 20th century. they showed that the wood suffered from significant loss of hemicelluloses and celluloses; two of the main components [9], [10], [11], [12]",During which century were chemical analyses carried out to understand more about the material?
"conclusions were drawn and the main hypothesis among conservators and wood chemists until the 1990s was the general assumption that the wood material was affected by acid hydrolysis during the long term exposure in a waterlogged environment [13], [14]",When was the general assumption that wood was affected by acid hydrolysis?
"meanwhile, in the field of degradation of plant tissue, biologists studied microbial degradation of wood [1]. with help of light microscopy, fungal attack was successfully identified, but occasionally also atypical decay patterns were reported",How many atypical decay patterns were reported?
"with help of light microscopy, fungal attack was successfully identified, but occasionally also atypical decay patterns were reported. these came usually from foundation poles situated in a waterlogged environment",where did atypical decay patterns come from?
"these came usually from foundation poles situated in a waterlogged environment. in a few reports from the 1940s, 1950s and 1960s, it was suggested that these peculiar degradation patterns could be a result of bacterial attack on the wood cell wall [15], [16], [17], [18], [19]",Where did the bacteria attack on the wood cell wall come from?
"it was not until the 1980s, with help of electron microscopy with a much higher resolution than light microscopy, that it was possible to verify that bacterial degradation in fact was the most dominant type of wood degradation taking place in waterlogged terrestrial and aquatic environments [4], [20], [21], [22], [23]",when was electron microscopy first used?
"a brief overview of the two most common degraders in waterlogged environments, erosion bacteria and soft rot fungi is given in the following text",What are the two most common degraders in waterlogged environments?
"erosion bacteria today, we know that the so called erosion bacteria are the main degraders of archaeological wood found under waterlogged near anaerobic conditions",Which bacteria are the main degraders?
"this is based on results from both experimental laboratory work as well as investigations on degraded archaeological wood from various terrestrial and aquatic sites worldwide [3], [4], [21], [24], [25]",What kind of wood was found on the continents?
"in contrast to other wood degrading fungi and bacteria, erosion bacteria are able to degrade wood under very low oxygen concentrations which include interior parts of solid wood constructions and wood situated in waterlogged soil, sediments, or waters low in oxygen",where are the interior parts of solid wood constructions situated?
"the bacteria are rod shaped and 2–8 μm in length and 0.5–0.9 μm in diameter (fig. 2). invasion starts from the wood surface through rays and pits, from where the bacteria enter the cell lumen of the tracheids",Where does the bacteria enter the cell lumen of the tracheids?
"9 μm in diameter (fig. 2). invasion starts from the wood surface through rays and pits, from where the bacteria enter the cell lumen of the tracheids. from here, the bacteria attack and erode the wood cell wall and align themselves along the microfibrils",From where does the bacteria enter the cell lumen of the tracheids?
"from here, the bacteria attack and erode the wood cell wall and align themselves along the microfibrils. the bacteria convert the cellulose rich secondary cell wall into an amorphous slimy material, whereas the lignin rich middle lamellae remain seemingly unaffected (fig. 3)",How does the bacteria erode the wood cell wall?
"3). as a result, a coherent network of middle lamellae is still intact despite intense decay by erosion bacteria [26]. this inability to degrade the middle lamellae or one might say incomplete decay, is the reason why archaeological wood still remain its form and integrity in wet condition",the inability to degrade the middle lamellae or incomplete decay is the reason why archaeological wood
"water fills out the degraded cell wall inside each fibre and the fragile middle lamellae provide enough physical strength to maintain the integrity of the wood. but if the wood is allowed to dry out, the capillary forces upon drying are so strong that the wood fibres will collapse and disintegrate","If the wood is allowed to dry out, will the capillary forces become stronger or weaker"
"but if the wood is allowed to dry out, the capillary forces upon drying are so strong that the wood fibres will collapse and disintegrate.erosion bacteria decay develops slowly from surface and inwards until all cellulose rich areas in the wood are utilised","if the wood is allowed to dry out, will the capillary forces on the wood become"
"erosion bacteria decay develops slowly from surface and inwards until all cellulose rich areas in the wood are utilised. in a viking pole, 1200 years old, this process was found to be still active in the interior parts [26]",How old was the viking pole when it was discovered that the process was still active in
"in a viking pole, 1200 years old, this process was found to be still active in the interior parts [26]. this allowed us to suggest that the process may go on for thousands of years. however, the rate of decay is not just dependent on time of burial",the rate of decay is not just dependent on what?
"this allowed us to suggest that the process may go on for thousands of years. however, the rate of decay is not just dependent on time of burial. in fact, it has been shown that environmental parameters and wood species may play a just as important role for progression of decay [4], [27], [28]",The rate of decay is not just dependent on what?
"in fact, it has been shown that environmental parameters and wood species may play a just as important role for progression of decay [4], [27], [28].the true identity of the erosion bacteria has been very difficult to clarify despite many efforts during the last twenty year",The true identity of the erosion bacteria has been difficult to clarify despite many efforts over how many
"the true identity of the erosion bacteria has been very difficult to clarify despite many efforts during the last twenty year. isolation and cultivation of single species with traditional methods has failed, which is the case for a majority of bacteria in nature",How long has it been difficult to clarify the true identity of the erosion bacteria?
"however, in a recent european commission funded research project, bacpoles, it was concluded, with help of dna technique, that erosion bacteria probably is a wide group different bacteria species, where some isolated species belongs to the group of flavobacteria and cytophaga [29]",How many different bacteria species are there?
"other dna analyses of waterlogged archaeological wood has showed that the wood host a wide spectre of many different bacteria species, but they are most likely secondary bacteria with other tasks than wood degradation [30]",dna analyses of waterlogged archaeological wood has shown that the wood host a wide spect
the interaction between bacterial and fungal species inside the wood in situ is most interesting and a matter for future research,the interaction between bacterial and fungal species inside the wood in situ is most interesting and a
soft rot fungi soft rot fungi degrade wood in both terrestrial and aquatic environments and are considered to have lower requirements for oxygen than basidiomycetes that are active above ground [1],Which type of fungi degrade wood?
"soft rot fungi belongs to the group of ascomycetes and fungi imperfecti and are named by the appearance of the wood after decay as the surface turns soft [31].aquatic soft rot fungi are common wood degraders in seawater and other natural water systems like lakes, rivers and ponds",Which group of ascomycetes and fungi imperfecti are named by the appearance
"aquatic soft rot fungi are common wood degraders in seawater and other natural water systems like lakes, rivers and ponds. more than 400 species are known from literature and novel species are frequently observed and described [32], [33]",How many species of soft rot fungi are known from literature?
"more than 400 species are known from literature and novel species are frequently observed and described [32], [33]. they degrade wood exposed in the water column at low and high depths and at varying waters temperatures [34]",How many species are known from literature and novel species?
"they degrade wood exposed in the water column at low and high depths and at varying waters temperatures [34]. some aquatic soft rot fungi are obligate marine which means that they only reproduce and grow in saline waters, whereas other species are obligate fresh water fungi",Which type of fungi are obligate marine?
"a large group of aquatic fungi have wide tolerance for both water temperatures and salinities, which means that they can be found in wide diverse environments [35]",A large group of aquatic fungi have a large tolerance for what two things?
"terrestrial soft rot fungi are most active in the upper soil layer where the soil is very wet/humid, or where periodic desiccation provides an environment with varying humidity's",Where are the soft rot fungi most active?
"they are therefore most active in the soil/air interface zone, from where a large number of species have been studied, isolated and identified [1]",where are the species most active?
"especially their attack on standing wooden poles has been carefully evaluated, as they are able to cause great harm at the base, which have let to deadly accidents in connection with inspection of telephone poles",what has the damage done to the poles?
the terrestrial soft rot decay patterns in wood are well known [36] and seem identical to the decay patterns observed in wood from aquatic environments [37],Which decay patterns are similar to the ones observed in aquatic environments?
"initial infestation takes place from the wood surface where hyphae penetrate the wood through the natural openings like rays and pits, including vessels of hardwoods [1]",Where does hyphae penetrate the wood?
"positioned inside the lumen, a local penetration of the massive wood cell wall takes place where the cellulose rich secondary cell wall is target for an advanced enzymatic decay process",where is the secondary cell wall located?
"fungal growth spreads to adjacent fibres by hyphal penetration, and in short time a smaller area of the wood is infected.soft rot cause two different types of attack, where type 1 is most common [38]",Which type of rot is most common?
"soft rot cause two different types of attack, where type 1 is most common [38]. glass disease, also referred to as sick glass or glass illness, is a degradation process of glass that can result in weeping, crizzling, spalling, cracking and fragmentation",How many types of glass disease are there?
"[1][2] glass disease is caused by an inherent instability in the chemical composition of the original glass formula.[3] properties of a particular glass will vary with the type and proportions of silica, alkali and alkaline earth in its composition",The composition of a glass will vary with the composition of what element?
"[3] properties of a particular glass will vary with the type and proportions of silica, alkali and alkaline earth in its composition.[4] once damage has occurred it is irreversible, but decay processes can be slowed by climate control to regulate surrounding temperature, humidity, and air flow","The composition of a glass will vary with the composition of silica, alkali, and"
glass disease is caused by an inherent fault in the chemical composition of the original glass formula,glass disease is caused by an inherent fault in the chemical composition of what?
"[3] glass contains three types of components: network formers establish basic structure, network stabilizers make glass strong and water resistant, and flux lowers the melting point at which the glass can be formed",How many types of component are there in glass?
"[5] common formulations of glass may include silica (sio2) as a former, alkali oxides such as soda (na2o) or potash (k2o) for flux, and alkaline earth oxides such as lime (cao) for stabilizing.[4][5]structurally, glass is composed of a network of sio4 tetrahedrons",Which is a former alkaline earth oxide?
"[4][5]structurally, glass is composed of a network of sio4 tetrahedrons. in addition to the network former silicon which establishes its principal structure, glass contains network modifying agents such as the alkali ions na+ and k+ and the alkali earth ions ca2+ and mg2+",Which two alkaline ions are present in glass?
"glass does not have a defined stoichiometry, rather the network is flexible. it can incorporate other ions, depending upon factors such as the main composition and firing conditions of the glass.[6] this causes almost all glass to be chemically unstable to some extent","Given all glass is chemically unstable, will it have a defined stoichiometry or a defined"
"[6] this causes almost all glass to be chemically unstable to some extent.[7]the likelihood of degradation due to glass disease depends on the amount and proportion of alkaline compounds mixed with silica, and on surrounding conditions",the likelihood of degradation due to glass disease depends on the amount of alkaline compounds mixed with
[3] inadequate calcium oxide causes the alkalis in the glass to remain water soluble at a low level of humidity. exposure to higher levels of relative humidity during storage or display causes alkali to hydrate and leach out of the glass. repeated changes in humidity can be particularly damaging,What causes alkali to leach out of a glass?
repeated changes in humidity can be particularly damaging. it is important to realize that any glass object can deteriorate if it is exposed to unsuitable environmental conditions,what can happen to glass if exposed to unsuitable conditions?
"it is important to realize that any glass object can deteriorate if it is exposed to unsuitable environmental conditions.[9] crystal, historic glass, or treasured family items should never be exposed to the high temperatures and water pressure of a dishwasher",What should never be exposed to the high temperatures of a dishwasher?
"[10][11]energy dispersive x ray analysis (edxa),[1][8] scanning electron microscopy (sem) and secondary ion mass spectrometry (sims) can be used to study exchange reactions in different types of glass",Sims are an example of what type of electron microscopy?
"by quantifying and studying chemical structure and reactions at the near surface layer, the mechanisms of glass disease can be better understood",How can the mechanisms of glass disease be understood?
"[7] measurement of the ph of glass surfaces is particularly important if glass objects have a matte surface, or have been exposed to kaolin or other substances","If glass surfaces have a matte surface or have been exposed to kaolin or other substances,"
"in the case of extremely small objects such as glass beads, ph measurement may be necessary to determine whether alkaline salts are present and changes in the glass are occurring",can ph measurement be used to determine if alkaline salts are present in glass beads?
[9][12]the processes involved in glass disease can reduce the transparency of the glass or even threaten the integrity of the structure,The processes involved in glass disease can reduce the integrity of the structure or even what?
"glass disease causes a complex disintegration of the glass which can be identified through a variety of symptoms, including weeping, crizzling, spalling, cracking and fragmentation.[3]the initial stage of glass disease occurs when moisture causes alkali to be leached out of the glass",the initial stage of glass disease occurs when moisture causes what to be leached out of the
[3]the initial stage of glass disease occurs when moisture causes alkali to be leached out of the glass. this becomes apparent when hygroscopic alkali deposits on the glass give it a cloudy or hazy appearance.[7][13] this may occur within as little as five to 10 years of the glass's manufacturing, alkali deposits on glass give it a cloudy or hazy appearance?
"[7][13] this may occur within as little as five to 10 years of the glass's manufacturing. the glass may feel slippery or slimy[10] and tiny droplets, or weeping, may be seen in high humidity (above 55%)",Is it possible for glass to feel slippery or slimy?
"the glass may feel slippery or slimy[10] and tiny droplets, or weeping, may be seen in high humidity (above 55%).[14] the hydrated alkali can form fine crystals on the surface of the glass in low relative humidity (below 40%)",At what temperature can tiny droplets of water be seen on the surface of a glass?
"[14] the hydrated alkali can form fine crystals on the surface of the glass in low relative humidity (below 40%).[4]at this stage, it may be possible to gently wash the glass and remove the surface alkali",At what temperature can alkaline crystals form on the surface of a glass?
"[4]at this stage, it may be possible to gently wash the glass and remove the surface alkali.[14] this will help to stabilize the glass by reducing the surface ph, and by removing dust, soiling, and hygroscopic components that attract further moisture","To stabilize the glass by reducing the surface ph, you can do what?"
"[9]if alkali builds up due to ion exchange, and remains on the surface of the glass, the decay process will accelerate. the presence of sodium or potassium ions in the alkali build up will increase the ph on the surface of the glass, causing it to become basic","if alkali builds up on the surface of the glass, will the decay process begin or"
"the presence of sodium or potassium ions in the alkali build up will increase the ph on the surface of the glass, causing it to become basic. this will dissolve silica from the glass as well as releasing more alkali ions",will the presence of sodium or potassium ions in the alkali build up or decrease the ph
"this will dissolve silica from the glass as well as releasing more alkali ions.[10][7]the haziness seen on the glass may not disappear entirely when washed and dried. when examined closely at an angle with a low light, fine cracks like tiny silvery lines or shimmering rays, may be visible",Is the haziness of the glass higher or lower when washed and dried?
"when examined closely at an angle with a low light, fine cracks like tiny silvery lines or shimmering rays, may be visible.[13] a microscope can confirm the presence of cracks. the cracks are caused by the loss of alkali, which leaves microscopic gaps in the structure of the glass",the cracks in glass are caused by the loss of what?
