question,context
How many people are in the 21livingstone family?,", 21livingstone, f. r., with taylor, 30, 31livingston, r. a., 7, 9, 15lloyd, g. o., with butlin, 7lofvendahl, r., with åborg, 4lópez, t., with montoto, 3lugnani, c., 3lukaszewicz, j. w"
How many moresandstones are there than atzeni?,", 10, 24sánchez, b., with montoto, 3sandberg, p., with mcmahon, 8sandstone, 19, 20, 22sanna, u., with atzeni, 24sanopoulou, m., 22santamaria, u., with d'urbanosantoro, e. d., 24, 27sardi, p"
"What are all the stones in diakumaku, 6stijfhoorn,",", with diakumaku, 6stijfhoorn, d. e., with aborg, 4strength of stone, 25streptomycin, 24strzelczyk, a. b., 10styolite irregularities, in limestone, 1su,  sc.  h.,  20suarez del rio, l. m"
calculating stone decay 15removalamsungof glossaryiverpoolsaltsamsung 15deep,combatting stone decay 15removal	of	soluble	salts	 15deep	impregnation	treatments	 15restoring	stonework	 153
will there be a replacement for 25stone?,"elements of repair 24 – 25 natural	stone	 24replacement	 24stone	indenting	 24structural	stone	repair	 25stone	surface	repair	 25our services stone brick, concrete, render terracotta, faience steel work corrosion contact  usclick on a page number to go to pageour services stone brick, concrete, render terracotta, faience steel work corrosion contact  usclick on a page number to go to page02brick, concrete, render  26 – 3 51"
"what services stone brick, concrete, render terracotta, faience steel work corrosion contact","our services stone brick, concrete, render terracotta, faience steel work corrosion contact  usszerelmey was founded in 1855 and has established an unrivalled reputation for excellence and highly specialist restoration across the whole of the construction industry"
can you remove natural stone from terracotta and stucco?,"our services stone brick, concrete, render terracotta, faience steel work corrosion contact  us07szerelmey restoration and conservation guide08below left: alexandra	restaurant 	ramsgate	kentbelow right:  stained 	glass	window	by	cox	&	barnard,	st	leonard’s 	church,	seaford  specialist cleaning and paint removal–   from all types of natural stone, masonry, terracotta and stucco"
who is responsible for the replacement of stained glass windows?,–   architectural glass  repair and replacement of stained glass windows and feature glazing  this specialist skilled work would be subcontracted and managed by szerelmey
what is the leading cause of stone decay?,"elements of repairstoneour services brick, concrete, render terracotta, faience steel work corrosion contact  usszerelmey restoration and conservation guide c ommon causes–   water penetration is the leading  instigator of stone decay and the three major causes of stone decay are: 1"
is a stone more or less susceptible to frost damage?,"frost–   like salt crystallisation, frost damage to stone is directly influenced by the stone’s porosity – the more porous the stone, the more susceptible to frost damage it will be"
is there a reason for frost damage on the stone structure?,–   frost damage occurs due to the expansion of water during freezing; the expansion puts stress on the stone structure leading to cracking and damage
What is it called when a straw dislodges fragments of stone?,–   frost damage can also be the ‘final  straw’ that dislodges fragments of  stone that have been subjected to other types of decay
can soluble salts soak in to porous stone?,"cry stallisation of soluble salts–   salts occur naturally in the environment and can soak in to porous stone as  a result of rainwater, groundwater,  sea spray; sometimes salts can be  left as a byproduct of unsuitable  cleaning solutions"
when do salts crystallize within stone pores?,–   when salts crystallise within stone pores they can generate sufficient stress to cause fragmentation
"Due to the chemical reactions between limestone and acid pollutants in rainwater, what is the concentration","–   the concentration of salts and the damage they incur is increased due to the chemical reactions between limestone and acid pollutants in rainwater such as sulphuric acid, which produces gypsum (calcium sulphate)"
is gypsum the same as stone decay?,it is this gypsum that is most frequently associated with stone decay of limestone
what is it called when gypsum is formed over a stone?,"this moisture is invariably pollutantheavy and known as occult deposition. this encourages the formation of gypsum which forms a hard, filthy crust over the stone"
is there a such a thing as crystallization damage?,"–   crystallisation damage caused by freely soluble salts such as sodium chloride, sodium sulphate or sodium hydroxide normally consists of a powdering and crumbling of the entire surface of the contaminated stone"
is calcium carbonate and limestone the same thing?,"–   limestone and marble are primarily composed of the mineral calcite (calcium carbonate) which dissolves readily in weak acid, making both these substances prone to decay from acid rain or air  born pollutants"
can some sandstones be resistant to acid rain?,"contour scaling–   while some sandstones are more resistant to acid rain than other types of stone, they can be prone to a type of decay called contour scaling"
Why does a crust form after the contours of the surface of the stone?,"–   a crust forms following the contours of the surface of the stone and the surface flakes away sometimes up to a depth of 20mm due to differences in moisture movement between crust and body stone, or differences in thermal expansion"
can lime mortars precipitate the pollution?,–   this is believed to occur as a result  of direct pollution with calcium sulphate  and can be precipitated by the use  of lime mortars
the presence of iron in stonework is detected by rust stains emerging from cracks produced by,–   the presence of iron within stonework  is detected by rust stains emerging from cracks produced by the expansion
can dense pointing mortar cause increased crystallisation damage?,–   dense pointing mortar can also cause increased crystallisation damage by restricting the movement of water through it so that little evaporation  can take place at the joints
what must evaporate from the stone itself?,moisture  in the wall must then evaporate from  the stone itself and any salts will accumulate in the stone
What is the best material to use for a decayed stone?,"–   since it is normally cheaper to repoint than to replace decayed stone, it is advisable to use a slightly permeable mortar which will deteriorate in preference to the stone"
do you need stainless steel for stonework?,"–   the corrosion of steel or cast iron fixings can cause spalling of stonework. dowels and fixings should, therefore, be made  of nonferrous metal or stainless steel"
can you remove salts from the fabric of a stone?,–   a more effective method for removing salts from the fabric of the stone is the use of clay poulticing (see page 19 chemical cleaning and poultices)
"deep impregnation of stonework with specific, suitable resins is an example of","deep impregnation treatments–   these involve the deep impregnation  of stonework with specific, suitable resins"
do these treatments secure the decaying surface to the solid stone beneath?,–   these treatments secure the decaying surface to the solid stone beneath  and should prevent further crystallisation damage
storing stonework with loose stones and flakes removed and repointing carried out where,r estoring stonework–   loose stone and flakes are removed and the stonework redressed until a solid face is exposed and repointing carried out where necessary
can stonework be restored to its original line?,"–   in more complicated cases where architectural detail or mass has been lost the stonework is restored to its original line through the application of artificial facing or natural stone, or by building  up with reconstituted mortar"
what kind of services does stonehealth provide?,"–  szerelmey work closely with stonehealth, a uk based company that offers products and consultancy for sensitive stonework restoration and conservation"
what is the name of the restoration guide19stone?,"szerelmey restoration and conservation guide19stone our services brick, concrete, render terracotta, faience steel work corrosion contact  usszerelmey restoration and conservation guidewaterair/granulatecontrolhighpressure water pump110 v / 2"
can you use calcium carbonate powder for softer stones?,"–  one of the most common is aluminium oxide powder, or chalk or calcium carbonate powder for softer stones.–  a great draw back to air abrasion is the amount of dust it generates"
"If a stone is deemed to be unsafe, what should be done?","–  stone replacement should only be undertaken if the stone has decayed to such extent to be structurally unsound or unsafe, or if the deterioration is causing other issues"
can a new unit of defective stone be cut and replaced?,–  if the deterioration is extensive then  the entire unit of defective stone can  be cut and replaced with a new unit  of geologically compatible stone
the compatibility of the replacement stone is important to ensure it does not cause or contribute to what,"–  the compatibility of the replacement stone is most important to ensure that it does not cause or contribute to the decay of adjacent masonry, in addition there is an aesthetic consideration"
where should replacement stones be sourced?,–  ideally the replacement stone should be sourced from the same quarry as the original piece
can you remove the whole block of defective stone?,"stone indenting–  this repair process is used in cases where it is not possible to remove the entire block of defective stone i.e., if removal causes structural instability"
To ensure the adjacent masonry is not damaged or damaged when cutting out a damaged stone out,–  particular care is taken when cutting the damaged stone out to ensure the adjacent masonry is not also damaged
the rear of a new stone piece is secured to the existing stone using what?,–  the rear of the new stone piece is secured to the existing stone using nonferrous or stainless steel dowls that are chemically anchored
what kind of stone is best for replacement pieces?,"–  it is very important that geologically compatible stone is selected for the replacement piece, preferably  sourced from the same quarry as the original stone"
does 24stone need to replace a damaged stone?,"elements of repair24stone our services brick, concrete, render terracotta, faience steel work corrosion contact  usimage left:  stages	of		mortar	repairszerelmey restoration and conservation guide s tructural stone repair–  structural repairs need to be undertaken when the soundness or stability of the building is threatened and it is not possible to replace the damaged stone"
screws are cut into structural cracks and filled with epoxy resin,–  slots are cut into the structural cracks and filled with epoxy resin. then stainless steel reinforcements are used to pin the two cracked pieces together
can you build a house with a stone mortar?,"–   these are carried out using stone  mortar, of which there are a number  of different types.–  these repairs are only suitable for small, localised areas"
what is important about the type of mortar used?,"–  it is very important that the correct type of mortar is used and that is has the same porosity as the stone being repaired,  in addition to being colour matched"
" lime based mortars are used most often, blended with sands/aggregates and mixed","–  if incorrect mortar is used it can expedite the building’s decay.–  lime based mortars are used most frequently, blended with sands/aggregates and mixed with potable water"
are synthetic mortars made of polymers and aggregates?,–  synthetic mortars are occasionally used and these are manufactured using a mixture of polymers and aggregates with a catalysing agent. these mortars dry extremely fast
What materials are needed to build 25stone brick deca y 2?,"25stone our services brick, concrete, render terracotta, faience steel work corrosion contact  usszerelmey restoration and conservation guidebrick, concrete, render261. brick deca y 2"
cracks in the brick and mortar can indicate what?,cracks in the brick and mortar–  cracks in bricks and mortar can indicate structural problems and should be investigated immediately
Why was lime mortar used in victorian times?,"–  cement mortar was often used from victorian times on to replace lime mortar, to the detriment of the building"
Is cement mortar breathable or breathable?,"–  cement mortar is nonbreathable and removes the ability of the wall to allow water to escape.–  when repointing the same mortar should be used that was originally used (i.e., not what was replaced)"
Fix minor cracks in brick,"–  minor cracks can be repaired by carefully cutting out the affected areas of brick, replacing fractured bricks, and repointing using a mortar appropriate to the  existing brickwork"
"If a wall is too worn and the mortar joints are too worn, what will happen to","–  if the mortar cracks, crumbles or recedes behind the outer face of the wall and the mortar joints become too worn, there is a high chance that water will penetrate and saturate the wall"
how to recreate the effect of stone on faience,also by using specific glazes on faience  the effect of stone could be recreated
how to fix cracks in walls?,"–  before the cracks are repaired, the cause should be thoroughly investigated.–  small cracks can be repaired on site using waterproof caulking"
will a small cracks be repaired on site?,–  small cracks can be repaired on site using waterproof caulking.–  if the damage is extensive the element will need to be replaced which is a highly skilled job
can hairline cracks be formed?,this results in hairline cracks that allow water in but not to evaporate out
the dense mortar of clay is subjected to what?,"this leads to problems when it freezes; the dense mortar tolerates the expansion pressure, but the clay is subjected to spalling"
 cracks running through multiple units can cause what?,"–  this can lead to flaking, cracking and crumbling of the surface. –  cracks running through multiple units can indicate tension/structural related issues and should be addressed immediately"
what kind of mortar should be used for repointing?,"–  repointing should only be done using appropriate mortar i.e., a lime based mortar with a fine sand aggregate"
what type of mortar should be used for terracotta/faience?,"e., a lime based mortar with a fine sand aggregate.–  waterproof caulking of joints should not be undertaken, nor should cement mortar be used for pointing terracotta/faience"
 corrosion terracotta and faience stone are examples of what?,"below:  cracking	due	to	steelwork	corrosion45steel work corrosion terracotta, faience stone contact  us our services brick, concrete, renderszerelmey restoration and conservation guide3"
is it viable to protect steelwork in buildings with large cavities or insulation between the steel,2.  therefore it is not viable for protecting steelwork in buildings with large cavities or insulation between the steelwork and external masonry cladding.3
Is there a connection between steel and mortar?,"some of the factors are as follows:–     continuity of the steel frame, fixings and other metallic items.–   contact between steel and mortar"
Is there a contact between steel and mortar?,"–   contact between steel and mortar.–    the current distribution controlled by the mortar and stone resistivity. –    location of anodes, joint details and steel work detailing"
what kind of stone is used to make a countertop?,"it is what the client or customer gets out of it. ” ~ pe ter drucker49steel work corrosion terracotta, faience stone our services contact  us brick, concrete, render r50"
